s.e., s.e;e.g.
svalbard na ɔkyerɛwee;Svalbard
svan na ɔkyerɛwee;Svan
svarabhakti na ɛyɛ adwuma;svarabhakti
swab;swab
swabia;Swabia
swabian kasa;Swabian
swadesh din a wɔahyehyɛ;Swadesh list
swagger a wɔde wɔn ho hyɛ mu;swagger
swahili kasa;Swahili
swain;swain
swallowtail a ɛyɛ fɛ;swallowtail
swan;swan
swan a ɔyɛ mum;mute swan
swan tuntum;black swan
swarf;swarf
swarm;swarm
swastika;swastika
swatch a wɔde yɛ nneɛma;swatch
sway;sway
swayback;swayback
swazi kasa mu;Swazi
swaziland na ɛwɔ hɔ;Swaziland
sweatshirt a wɔde hyɛ atade;sweatshirt
swede kasa mu;swede
sweden;Sweden
sweden ahemman no;Kingdom of Sweden
sweden kasa mu;Swedish
swedenfo aduru a wɔde twitwiw nipadua no;Swedish massage
swedophone a wɔde di dwuma;Swedophone
sweeper a ɔprapra nneɛma;sweeper
sweepstake a wɔde di dwuma;sweepstake
sweeten;sweeten
sweetie a ɔyɛ ɔbarima;sweetie
sweetly;sweetly
sweetshop;sweetshop
swidden a wɔde di dwuma;swidden
swill;swill
swing a wɔwosow;swinging
swipe a wode twitwiw so;swipe
swirl;swirl
switch on no;switch on
switchboard a wɔde kyerɛw nneɛma;switchboard
switcheroo a wɔde yɛ adwuma;switcheroo
switzerland;Switzerland
switzerland asraafo sekan;Swiss Army knife
switzerlandfo;Swiss
switzerlandfo nhoma mmobɔwee;Swiss roll
swivel a wɔde twitwiw nneɛma;swivel
swoon;swoon
swoop;swoop
swot;swot
swɛta;sweater
sybarite a wɔfrɛ no sybarite;sybarite
sycamore a wɔfrɛ no sycamore;sycamore
sycamore maple a wɔfrɛ no sycamore maple;sycamore maple
sycophant a wɔde di dwuma;sycophant
sydenham a ɔyɛ chorea no;Sydenham's chorea
sydney;Sydney
sydney opera fie a ɛwɔ hɔ;Sydney Opera House
syktyvkar na ɔkyerɛwee;Syktyvkar
syllepsis a ɛyɛ mmerɛw;syllepsis
syllogism a wɔde di dwuma;syllogism
sylph a wɔfrɛ no sylph;sylph
sylvan a ɛwɔ hɔ;sylvan
sylvester na ɔkyerɛwee;Sylvester
sylvite a wɔfrɛ no sylvite;sylvite
sym- .;sym-
symbiont a ɛne ne ho di nsɛ;symbiont
symbiosis a ɛma obi bom yɛ adwuma;symbiosis
symbiotic a ɛbom yɛ adwuma;symbiotic
symmetrical a ɛyɛ pɛpɛɛpɛ;symmetrical
symmetry a ɛyɛ pɛpɛɛpɛ;symmetry
synaesthesia a ɛma obi ho yɛ hyew;synaesthesia
synalepha a ɛwɔ nipadua no mu;synalepha
synapse a ɛwɔ nipadua no mu;synapse
synchrocyclotron a wɔde yɛ adwuma;synchrocyclotron
synchronous a ɛyɛ adwuma;synchronous
synchrotron a ɛma nipadua no yɛ adwuma;synchrotron
synclinal a ɛwɔ nipadua no mu;synclinal
syncopate a wɔde hyɛ nipadua mu;syncopate
syncope a ɛma obi ho kyere no;syncope
syndesmosis a ɛma obi ho yɛ hyew;syndesmosis
syndical a wɔde yɛ adwuma;syndical
syndicalism a wɔde di dwuma;syndicalism
syndicalist a ɔyɛ adwuma wɔ hɔ;syndicalist
syndrome a ɛma obi nya ɔyare no;syndrome
synecdoche a wɔde di dwuma;synecdoche
synergy a wɔde yɛ adwuma;synergy
synod, asɔredan mu;synod
synovitis a ɛyɛ mmerɛw;synovitis
synovium a ɛwɔ nipadua no mu;synovium
synthase a wɔfrɛ no synthase;synthase
synthesis a wɔde yɛ nneɛma;synthesis
synthesize a wɔde yɛ nneɛma;synthesize
synthesizer a wɔde yɛ nneɛma;synthesizer
synthetase a wɔde yɛ nneɛma;synthetase
synthetic a wɔde yɛ nneɛma;synthetic
syphilis a ɛma obi ho kyere no;syphilis
syr darya na ɔkyerɛwee;Syr Darya
syracuse na ɛwɔ hɔ;Syracuse
syria;Syria
syria arab republic na ɛwɔ hɔ;Syrian Arab Republic
syringe a wɔde yɛ adwuma;syringe
syringomyelia a ɛma nipadua no yɛ adwuma;syringomyelia
syrup a wɔde yɛ aduru;syrup
sysadmin a ɔhwɛ so;sysadmin
systole a ɛwɔ nipadua no mu;systole
systolic a ɛwɔ nipadua no mu;systolic
syzygy a wɔde di dwuma;syzygy
são paulo na ɛwɔ hɔ;São Paulo
são toméan na ɔkyerɛwee;São Toméan
séance a wɔde di dwuma;séance
sɔ;switch
sɔ ani;impress
sɔ gya;ignite
sɔ hwɛ;examine
sɔ hwɛ;try on
sɔ hwɛ;try out
sɔ mu;grip
sɔ mu;touch
sɔfoɔ;priest
sɔhwɛ;quiz
sɔhwɛ;tempt
sɔhwɛ;temptation
sɔhwɛ;test
sɔhwɛ;trial
sɔhwɛ a wɔde anifurae abien yɛ;double-blind test
sɔhwɛ a wɔde hyɛ mu;entrance examination
sɔhwɛ a wɔde sɔ nneɛma hwɛ;experimentation
sɔhwɛ a wɔreyɛ;testing
sɔhwɛ krataa;exam paper
sɔhwɛ mu;experimental
sɔhwɛ ne mfomso;trial and error
sɔhwɛ wimhyɛnkafo;test pilot
sɔks;sock
sɔks abofra a wɔde yɛ abofra;sock puppet
sɔre;arise
sɔre;get up
sɔre;rise
sɔre;worship
sɔre gyina hɔ;stand up
sɔre kɔ;get up to
sɔre na kɔ;up and leave
sɔre tia;oppose
sɔre tiae;opposed
sɔsegyi;sausage
sɛ;as
sɛ;deserve
sɛ;identical
sɛ;if
sɛ;resemble
sɛ;similar
sɛ;whether
sɛ anaa;either
sɛ anka;instead of
sɛ anka;instead
sɛ eye anaasɛ enye;for better or worse
sɛ hwɛ betumi akum a;if looks could kill
sɛ meyɛ saa a, ɛnhaw wo;don't mind if I do
sɛ mpo a;even if
sɛ na meyɛ wo a;if I were you
sɛ na sɛ ɛba nkutoo a;if and only if
sɛ ne nyinaa;as a whole
sɛ onyankopɔn pɛ a;God willing
sɛ sɛ;supposed
sɛ wobedi mfomso a, ɛyɛ onipa;to err is human
sɛ wobɛbɔ boot;to boot
sɛ wobɛsɔ ahwɛ;to taste
sɛ wohwɛ no nea edi kan a;at first glance
sɛ wopɛ a;if you will
sɛ wɔbɛtoa so;to be continued
sɛ wɔde bɛyɛ;to do with
sɛ wɔde toto ho a;comparatively
sɛ wɔde toto ho a;relatively
sɛ wɔka bom a;collectively
sɛ yɛbɛhyɛ aseɛ a;for starters
sɛ yɛbɛka a;so to speak
sɛ yɛbɛka a;to wit
sɛ yɛbɛka no pen a;frankly
sɛ yɛbɛka no tiawa a;in a nutshell
sɛ yɛbɛka no tiawa a;summarily
sɛ yɛbɛka nokware a;to be honest
sɛ yɛde to nkyɛn a;apart from
sɛ yɛhwɛ akyi a, ɛyɛ 20-20;hindsight is 20-20
sɛ ɛba saa a;in case
sɛ ɛba sɛ;in case of
sɛ ɛba sɛ ɛba ara kwa a;just in case
sɛ ɛboro so a;at most
sɛ ɛbɛyɛ yiye a;preferably
sɛ ɛno nkutoo a;if only
sɛdeɛ ɛbɛyɛ a;in order to
sɛe;damage
sɛe;destroy
sɛe;disable
sɛe;perish
sɛe;ruin
sɛe;spoil
sɛe;waste
sɛe ade;deteriorate
sɛe ade;impair
sɛe bere;spend time
sɛe bere;waste time
sɛe kɛse;worsen
sɛe ne honam ani hwɛbea;disfigure
sɛe wɔn ase;annihilate
sɛe wɔn ase;exterminate
sɛeeɛ;spoilt
sɛn;hang
sɛn;how much
sɛn;how
sɛn asaawa bi so;hang by a thread
sɛn hɔ;hang on
sɛn hɔ;hung
sɛn hɔ te sɛ ɔpɔnkɔ;hung like a horse
sɛn mmarahyɛ bagua no;hung parliament
sɛn wo ho ma ɛyow;hang out to dry
sɛnea abu so;prevalence
sɛnea edidi so yi;as follows
sɛnea emu yɛ den;severity
sɛnea etu mpɔn;effectiveness
sɛnea mmara kyerɛ no;as a rule
sɛnea nkyerɛwde no te;alphabetically
sɛnea nsu ntumi nkɔ mu;impermeability
sɛnea obi gyina hɔ;posture
sɛnea obi nim no;as far as one knows
sɛnea obi nim no;to one's knowledge
sɛnea wobetumi agye atom;verifiability
sɛnea wobetumi akɔ hɔ;accessibility
sɛnea wobetumi atra ase;viability
sɛnea wobetumi de adi dwuma;practicability
sɛnea wodi ho dwuma;handling
sɛnea wogyina ano;coping
sɛnea wopɛ;as you like
sɛnea wopɛ;as you wish
sɛnea wotumi de di dwuma bio;reusability
sɛnea wotumi hu ade;visibility
sɛnea wotumi hwehwɛ nneɛma mu;traceability
sɛnea wotumi sesa nneɛma;adaptability
sɛnea wotumi yɛ nneɛma pii;versatility
sɛnea wunim no;as you know
sɛnea wɔahyehyɛ no nnidiso nnidiso;chronologically
sɛnea wɔahyɛ no;by default
sɛnea wɔde di dwuma;applicability
sɛnea wɔde di dwuma;usability
sɛnea wɔde di dwuma adamfofa su;user-friendliness
sɛnea wɔde wɔn nsa ka ade;tactility
sɛnea wɔka no;as the saying goes
sɛnea wɔtaa yɛ no;as usual
sɛnea wɔyɛ no sɛnea wɔpɛ;customization
sɛnea wɔyɛ nsakrae wɔ nneɛma mu;adaptive
sɛnea wɔyɛ nsakrae wɔ nneɛma mu;flexibility
sɛnea ɔkraman tu no;as the crow flies
sɛnea ɛbɛyɛ a;in order for
sɛnea ɛbɛyɛ yiye;feasibility
sɛnea ɛbɛyɛ yiye biara;as much as possible
sɛnea ɛbɛyɛ yiye no;ideally
sɛnea ɛfa ho no;as regards
sɛnea ɛfata;adequacy
sɛnea ɛfata;adequately
sɛnea ɛfata;appropriateness
sɛnea ɛfata;aptly
sɛnea ɛfata;conveniently
sɛnea ɛfata;duly
sɛnea ɛfata;propriety
sɛnea ɛfata;suitably
sɛnea ɛrekɔ so;how's it going
sɛnea ɛsɛ;sufficiently
sɛnea ɛsɛe ade;degradability
sɛnea ɛte ara pɛ;as soon as
sɛnea ɛte biara;alike
sɛnea ɛte biara;at any rate
sɛnea ɛte biara;in any case
sɛnea ɛte biara;inasmuch as
sɛnea ɛte biara;respective
sɛnea ɛte biara;respectively
sɛnea ɛte biara no;at all costs
sɛnea ɛte biara no;incidentally
sɛnea ɛte biara no;normally
sɛnea ɛte daa;normalcy
sɛnea ɛte daa;normality
sɛnea ɛte no;accordance
sɛnea ɛte no;according to
sɛnea ɛte no;accordingly
sɛnea ɛte no;as a matter of fact
sɛnea ɛte no;as far as
sɛnea ɛte no;as for
sɛnea ɛte no;as is
sɛnea ɛte no;as it stands
sɛnea ɛte no;as of
sɛnea ɛte no;as yet
sɛnea ɛte no;pursuant
sɛnea ɛte no ara;identically
sɛnea ɛte sɛ nea ɛyɛ;seemliness
sɛnea ɛteɛ;correctly
sɛnea ɛyɛ adwuma yiye;efficacy
sɛnea ɛyɛ mmerɛw;simpleness
sɛnea ɛyɛ mmerɛw sɛ wobenya bi;susceptibility
sɛnea ɛyɛ pɛpɛɛpɛ;symmetrically
sɛnea ɛyɛ su;habitually
sɛnkyerɛnne;signal
sɛnkyerɛnne a ɛkyerɛ;symptom
sɛnkyerɛnne a ɛkyerɛ sɛ obi twe ne ho fi ho;withdrawal symptom
sɛnkyerɛnne kwan so;emblematic
sɛnkyerɛnne kwan so;figurative
sɛnkyerɛnne kwan so;figuratively
sɛnkyerɛnne kwan so;symbolically
sɛnkyerɛnne kwan so de;symbolic
sɛnkyerɛnne kwan so nneɛma;symbology
sɛnkyerɛnne kwan so nsɛm;symbolism
sɛnkyerɛnnede ho adesua;semiotics
sɛnkyerɛnnede ho ɔbenfo;semiotician
sɛnt abien;two cents
sɛnti;cause
sɛnti;factor
sɛnti;reason
sɛntimita;centimetre
sɛntimita ahinanan;square centimeter
sɛso;equivalent
sɛso;reflect
sɛso;reflection
sɛten;setting
sɛɛgyiri;surgery
sẽ a wɔde yɛ sẽ;denture
