a bit much;kakra pii
arboreal;nnua a wɔde yɛ nneɛma
arborescence;nnua a wɔde yɛ nnua
arboretum;nnua a wɔde yɛ nnua
arboriculture;nnua a wɔyɛ
arboriculturist;nnua ho nimdefo
Arbëresh;Arbëresh na ɔkyerɛwee
Arc de Triomphe;Arc de Triomphe a ɛwɔ hɔ
arc;arc
arcade;agoprama a wɔde di agoru
Arcadia;Arcadia a ɛwɔ hɔ
arcane;ahintasɛm
arccosine;arcosine a wɔde yɛ aduru
arch-;arch- .
arch;arch
Archaean;Archaeanfo a wɔyɛ adwuma wɔ hɔ
archaeolinguistics;tete kasa ho adesua
archaeological;fam tutu ho adesua
archaeologist;fam tutufo
archaeology;fam tutu ho adesua
archaic;tete de
archangel;ɔbɔfo panyin
archbishop;ɔsɔfo panyin
archbishopric;ɔsɔfo panyin dibea
archchancellor;ɔmanpanyin panyin
archdeacon;ɔsɔfo panyin
archdiocese;asɔre kɛse no
archducal;archducal a ɛwɔ hɔ
archduchess;ɔheneba panyin
archduke;ɔheneba panyin
archegonium;archegonium a ɛwɔ nipadua no mu
archenemy;ɔtamfo kɛse
archeopteryx;archeopteryx a wɔfrɛ no archeopteryx
archepiscopal;asɔfo panyin
archer;agyantofo
archeress;agyantofo a ɔbɔ agyan
archery;agyan a wɔtow
archetypal;tete nneɛma a wɔde yɛ nneɛma
archetype;archetype a wɔayɛ no tete
archi-;archi- .
Archibald;Archibald na ɔkyerɛwee
archimandrite;archimandrite a wɔde yɛ nneɛma
Archimedean solid;Archimedefo a ɔyɛ ade a ɛyɛ den
Archimedes;Archimedes na ɔkyerɛwee
archipelago;nsupɔw so
architect;akitɛte
architectural;adansi ho nimdeɛ
architecture;dan nhyehyɛeɛ
architranseme;architranseme a wɔde kyerɛw nsɛm
architrave;architrave a wɔde kyerɛw nneɛma
archive;nsɛm dada
archivist;nneɛma a wɔkora so
archlute;archlute a wɔde di dwuma
archon;archon na ɛyɛ archon
archway;archway a wɔde fa abrannaa so
arcsecond;arcsecond a ɛto so abien
arcsine;arcsine na ɛyɛ
Arctic Circle;Arctic Kurukuruwa
arctic fox;arctic ɔkraman
arctic hare;arctic akraman a wɔfrɛ wɔn hare
Arctic Ocean;Arctic Po no
Arctic skua;Arctic skua a wɔfrɛ no skua a wɔfrɛ no skua
arctic tern;arctic tern a wɔfrɛ no tern a wɔfrɛ no tern
Arctic;Arctic
Arcturus;Arcturus a ɔkyerɛwee
arcuate fasciculus;arcuate fasciculus a ɛyɛ ntini a ɛyɛ den
ardent;ardent
ardor;ardor
arduity;arduity a ɛyɛ den
arduous;a ɛyɛ den
Ardèche;Ardèche na ɔkyerɛwee
are you married;woaware?
are you OK;so wo ho ye
are you religious;so woyɛ nyamesomfo
are you single;so woyɛ sigyani
are;yɛ
area code;mpɔtam hɔ mmara
area;beaeɛ
areca;areca
arena;agoprama so
arene;arene
areola;areola
Areopagus;Areopago na ɛwɔ hɔ
Arequipa;Arequipa na ɛwɔ hɔ
Ares;Ares
Arezzo;Arezzo na ɔkyerɛwee
arf;arf
argan;argan
argent;argent
Argentina;Argentina
Argentine tango;Argentinafo tango
argentine;argentinefo a wɔde wɔn ho hyɛ mu
Argentinian;Argentinani
argentite;argentite a wɔde di dwuma
arginine;arginine a wɔde di dwuma
Argo Navis;Argo Navis na ɔkyerɛwee
Argo;Argo
argon;argon a wɔfrɛ no argon
Argonaut;Argonaut na ɔkyerɛwee
argot;argot a wɔfrɛ no argot
arguable;akyinnyegye wɔ ho
argue;gye kyin
argument;akyinnyeɛ
argumentative;akyinnyegye a wɔde di dwuma
argyle;argyle a wɔfrɛ no argyle
aria;aria
Arian;Arian na ɔkyerɛwee
Arianism;Ariansom a wɔde di dwuma
Arica;Arica na ɔkyerɛwee
arid;arid
aridity;aridity a ɛyɛ hyew
Ariel;Ariel na ɔkyerɛwee
Aries;Aries a ɛwɔ hɔ
arigato;arigato a wɔde di dwuma
aril;aril
arise;sɔre
Aristarch;Aristarch na ɔkyerɛwee
aristocracy;ahemfo a wɔyɛ adehye
aristocrat;aristocrat a ɔyɛ ɔdefo
aristocratic;ahemfo a wɔyɛ adefo
aristocratically;wɔ ahemfo kwan so
Aristophanes;Aristophanes na ɔkyerɛwee
Aristotelian;Aristotle na ɔkyerɛwee
Aristotle's lantern;Aristotle kanea a ɔde yɛ kanea
Aristotle;Aristotle na ɔkyerɛwee
arithmetic mean;akontaabu kyerɛ
arithmetic;akontaabu ho nimdeɛ
Arizona;Arizona
Ark of the Covenant;Apam Adaka no
ark;adaka no
Arkansas;Arkansas na ɛwɔ hɔ
Arkhangelsk;Arkhangelsk na ɔkyerɛwee
arm to the teeth;abasa kosi sẽ so
arm wrestling;nsa a wɔde bɔ akuturuku
arm-wrestle;nsa-akuturukubɔ
arm-wrestler;abasa-akuturukubɔfo
arm;abasa
armada;armada
armadillo;armadillo a wɔfrɛ no armadillo
Armageddon;Harmagedon
armalcolite;armalcolite a wɔde yɛ aduru
armament;akode a wɔde yɛ adwuma
armchair;nsa so nkongua
armed forces;asraafo a wɔde akode ayɛ adwuma
armed robbery;akode a wɔde korɔn
armed;akode a wɔde di dwuma
Armenia;Armenia na ɛwɔ hɔ
Armenian Highland;Armenia Mmepɔw so
Armenian SSR;Armeniafo SSR
Armenian;Armenia kasa
armful;abasa a wɔde ahyɛ mu
armhole;nsa ho tokuru
armiger;armiger a ɛyɛ hu
armigerous;armigerous a ɛyɛ den
armillary sphere;armillary kurukuruwa
Arminianism;Arminiansom a wɔde di dwuma
armistice;akodi a wɔagyae
armor;akode a wɔde hyɛ
armored;akode a wɔde ahyɛ wɔn ho
armorer;akodeyɛfo
armour;akode a wɔde hyɛ
armoured train;keteke a wɔde akode ahyɛ mu
armoured;akode a wɔde ahyɛ wɔn ho
armoury;akodekorabea
armpit;armpit
armrest;nsateaa a wɔde gyina so
arms race;akode ho mmirikatu
army;asraafoɔ
Arnhem Land;Arnhem Asase so
arnica;arnica
Arnold;Arnold na ɔkyerɛwee
aroma;hua a ɛyɛ huam
Aromanian;Aromani kasa
aromatherapy;aduru a wɔde yɛ aduru a ɛyɛ huam
aromatic;a ɛyɛ huam
aromaticity;aromaticity a ɛyɛ huam
around the corner;twaa ntwea so
around;ho
arousal;akanyan
arouse;kanyan
arpeggio;arpeggio a wɔde di dwuma
arracacha;arracacha, a ɛyɛ arracacha
arraign;asɛm a wɔde kɔdan asɛnnibea
arraignment;asɛm a wɔde kɔdan asɛnnibea
arrange;hyehyɛ
arrangement;nhyehyɛeɛ
array;nhyehyɛe
arrear;akatua a wɔde ma
arrest warrant;tumi krataa a wɔde kyere nkurɔfo
arrest;kyere a wɔkyere
Arretine;Arretine na ɔkyerɛwee
arrhythmia;arrhythmia a ɛnyɛ den
arrhythmic;arrhythmic a ɛnyɛ den
arrival;abɛduru
arrive;duru
arrogance;ahantan
arrogant;ahantan
arrogantly;ahantan mu
arrogate;ahantan
arrow;agyan
arrowhead;agyan a wɔde kyerɛ
arrowroot;agyan ntini
arroyo;arroyo
arsehole;arsehole a wɔde hyɛ mu
arsenal;akodekorabea
arsenate;arsenate a wɔde di dwuma
arsenic trioxide;arsenic trioxide a wɔde yɛ aduru
arsenic;arsenic a wɔfrɛ no arsenic
arsenide;arsenide a wɔde yɛ adwuma
arsenopyrite;arsenopyrite a wɔde yɛ aduru
arson;ogya a wɔde hyew nneɛma
arsonist;obi a ɔtow ogya
art dealer;adwinni ho aguadifo
Art Deco;Art Deco a Wɔde Yɛ Nneɛma
art for art's sake;adwinni esiane adwinni nti
art gallery;adwinni dan a wɔde kyerɛ
art historian;adwinni ho abakɔsɛm kyerɛwfo
art of war;akodi ho adwinni
art;adeyɛ
Arte Povera;Arte Povera na ɔkyerɛwee
Artemis;Artemi na ɔyɛ
arterial road;arterial kwan so
arterial;ntini mu ntini
arteriosclerosis;ntini mu ntini a ɛyɛ den
arteritis;ntini mu yare
artery;ntini mu ntini
artesian well;artesian abura
artful;adwinni a wɔde yɛ adwuma
arthritic;ntini mu yare
arthritis;ntini mu yare
arthroplasty;ntini a wɔde yɛ ntini mu yare
arthropod;arthropod a wɔfrɛ no arthropod
Arthur;Arthur na ɔkyerɛwee
Arthurian;Arthurian na ɔkyerɛwee
artichoke bottom;artichoke a ɛwɔ ase
artichoke;artichoke a wɔde yɛ aduru
article;atwerɛ
articular;articular
articulate;ka nsɛm a ɛyɛ dɛ
articulated bus;bɔs a wɔde nsɛm a ɛyɛ dɛ di dwuma
articulated lorry;articulated lɔre a wɔde di dwuma
articulately;a wɔka no pefee
articulateness;kasa a wɔka no yiye
articulatory;articulatory a wɔde di dwuma
artifact;artifact a wɔde ayɛ nneɛma
artifice;artifice a wɔde ayɛ nneɛma
artificer;adwumfo
artificial tears;nusu a wɔde nsa ayɛ
artificial;anisodeɛ
artificially;wɔ ɔkwan a wɔde nsa ayɛ so
artillery;atuo a wɔde di dwuma
artilleryman;ɔtopae a wɔde di dwuma
Artinskian;Artinskian na ɔkyerɛwee
artisan;nsaanodwumayɛfo
artisanally;nsaanodwuma mu
artist;dwontoni
artistic licence;adwinni ho tumi krataa
artistic;adwinni ho nimdeɛ
artistically;wɔ adwinni mu
artless;adwinni a wonni
artlessness;adwinni a wonni
arts and crafts;adwinni ne nsaanodwuma
artwork;adwinni a wɔayɛ
arty;arty
Aruba;Aruba kasa mu
Aruban;Arubanfo kasa
arugula;arugula a ɛyɛ hu
Aruküla;Aruküla na ɔkyerɛwee
arum lily;arum sukooko
Arunachal Pradesh;Arunachal Pradesh na ɛwɔ hɔ
Arvanitika;Arvanitika na ɔkyerɛwee
Aryan;Aryanfo
aryballos;aryballos a wɔfrɛ no aryballos
aryl;aryl
arête;arête a wɔde di dwuma
as a matter of fact;sɛnea ɛte no
as a result;nea afi mu aba ne sɛ
as a rule;sɛnea mmara kyerɛ no
as a whole;sɛ ne nyinaa
as far as one knows;sɛnea obi nim no
as far as;sɛnea ɛte no
as follows;sɛnea edidi so yi
as for;sɛnea ɛte no
as if;te sɛ nea
as is;sɛnea ɛte no
as it stands;sɛnea ɛte no
as long as;kɔpem sɛ
as much as possible;sɛnea ɛbɛyɛ yiye biara
as of;sɛnea ɛte no
as regards;sɛnea ɛfa ho no
as soon as possible;ntɛm ara sɛnea ɛbɛyɛ yiye biara
as soon as;sɛnea ɛte ara pɛ
as the crow flies;sɛnea ɔkraman tu no
as the saying goes;sɛnea wɔka no
as though;te sɛ nea ɛte sɛ nea
as usual;sɛnea wɔtaa yɛ no
as well as;ne
as well;ne
as yet;sɛnea ɛte no
as you know;sɛnea wunim no
as you like;sɛnea wopɛ
as you wish;sɛnea wopɛ
as;sɛ
ASAP;ASAP
asbestos;asbestos a wɔde yɛ adwuma
asbestosis;asbestosis a wɔde di dwuma
ascaridole;ascaridole a wɔde di dwuma
ascend;foro kɔ soro
ascendancy;a ɛkɔ soro
Ascension Day;Ɔsorokɔ Da
ascension;ɔsoro a wɔforo kɔ soro
ascent;foro a wɔforo
ascertain;hwɛ hu
ascertainable;a wobetumi ahu
ascetic;ascetic a ɔyɛ ɔhotefo
asceticism;asceticism a wɔde wɔn ho hyɛ mu
Asclepius;Asclepius na ɔkyerɛwee
ascocarp;ascocarp a wɔfrɛ no ascocarp
Ascoli Piceno;Ascoli Piceno na ɔkyerɛwee
ascomycete;ascomycete a wɔde yɛ aduru
ascorbate;ascorbate a wɔde hyɛ nipadua mu
ascorbic acid;ascorbic acid a wɔde yɛ aduru
ascorbic;ascorbic a ɛyɛ aduru
ascribable;ascribable a wɔde ma
ascribe;ascribe
ASEAN;ASEAN NKWASƐM
aseptic;aseptic a wɔde di dwuma
asexuality;nna a wɔnyɛ
asexually;wɔ ɔbarima ne ɔbea nna mu
ash tree;nsõ dua
Ash Wednesday;Ash Dwoda
ash;nso
ashamed;ani awu
ashen;ashen
Asher;Aser
Ashgabat;Ashgabat na ɛwɔ hɔ
Ashkelon;Askelon
Ashkenazi;Ashkenazifoɔ
Ashkenazic;Ashkenazifo kasa mu
ashlar;ashlar
Ashoka;Ashoka na ɔkyerɛwee
ashore;mpoano
ashtray;nsõ a wɔde gu mu
Asia Minor;Asia Kumaa
Asia-Pacific;Asia-Pacific na ɛwɔ hɔ
Asia;Asia
Asian elephant;Asiafo asono
Asian Games;Asiafo Agumadi
Asian lion;Asia gyata
Asian;Asiafo
Asiatic golden cat;Asiafo sika kɔkɔɔ ɔkraman
aside;to nkyɛn
asinine;asinine a wɔde yɛ adwuma
ask for;bisa
ask out;bisa fi adi
ask;bisa
askance;askance
askew;askew a ɛyɛ fɛ
asleep;ada
Asmara;Asmara
asp;asp
asparagine;asparagine a wɔfrɛ no asparagine
asparagus;asparagus a wɔde yɛ aduan
aspartame;aspartame a wɔde yɛ aduru
aspartate;aspartate a wɔde yɛ adwuma
aspartic acid;aspartic acid a wɔde yɛ aduru
aspartic;aspartic
aspect ratio;afã horow a ɛyɛ pɛpɛɛpɛ
aspect;ɔfa
aspen;aspen
Asperger's syndrome;Asperger yare a ɛma obi nya ɔyare no
aspergillum;aspergilum a ɛyɛ mmerɛw
aspermia;aspermia a ɛma obi ho yɛ hyew
aspersion;aspersion a wɔde di dwuma
asphalt;asphalt a wɔde ayɛ
asphaltene;asphaltene a wɔde yɛ nneɛma
asphodel;asphodel a wɔde yɛ nneɛma
asphyxia;asphyxia a ɛma obi ho kyere no
asphyxiate;asphyxiate a wɔde hyɛ nipadua mu
asphyxiation;akisikuru a ɛma obi home
aspic;aspic
aspie;aspie
aspirant;aspirant a ɔpɛ sɛ ɔyɛ
aspirate;aspirate a wɔde hyɛ nipadua mu
aspirated h;aspirated h
aspirated;aspirated
aspiration;aspiration
aspirator;aspirator a wɔde hyɛ nipadua mu
aspire;aspire
aspirin;aspirin a wɔde di dwuma
asplenia;asplenia a ɛma obi ho yɛ hyew
ass-licker;afunumu-licker
ass;afunumu
assail;assail a wɔde tow hyɛ obi so
assailant;ɔtowhyɛfo
Assam;Assam na ɛwɔ hɔ
assassin bug;awudifo bɔne
assassin;owudifo
assassinate;awudifo
assassination;awudisɛm
assault rifle;atuo a wɔde tow hyɛ nkurɔfo so
assault;ɔtaa
assay;nhwehwɛmu
assegai;assegai na ɛyɛ
Asselian;Asselian na ɔkyerɛwee
assemble;boaboa ano
assembly line;nhyiamu kwan
assembly;nhyiamu
assent;pene a wɔpene so
assert;si so dua
assertion;asɛm a wɔka sie
assertive;yereketee
assertiveness;asɛm a wɔka sie
assess;kari
assessment;nkarihwɛ
assessor;ɔsɔhwɛfo
asset-backed;agyapade a wɔde gyina akyi
asset;agyapadeɛ
assets;agyapadeɛ
asseverate;asseverate a ɛyɛ den
assfuck;assfuck a ɛyɛ den
asshole;afunumu
assiduity;nsiyɛ a wɔde yɛ adwuma
assiduous;nsiyɛ a wɔyɛ
assiduously;nsiyɛ mu
assign;fa ma
assignee;nea wɔde ama no
assignment;dwumadie
assignor;assignor a ɔde ma
assimilation;assimilation a wɔde wɔn ho hyɛ mu
Assisi;Assisi
assist;boa
assistance;mmoa a wɔde ma
assistant;abadiakyire
associate's degree;associate’s abodin krataa
associate;apamfo
association football;fekuw bɔɔlbɔ
association;nkabomkuo
associative;fekubɔfo
assonance;assonance a wɔde di dwuma
assonant;assonant a wɔde di dwuma
assort;ahorow ahorow
assorted;ahorow ahorow
assortment;assortment a wɔde di dwuma
assuage;assuage a ɛma obi dwo
assume;fa no sɛ
assumed;wɔfaa no sɛ
assumption;nsusuiɛ
assurance;awerɛhyem a wɔde ma
assure;ma awerɛhyem
Assyria;Asiria
Assyrian;Asiriafo
Assyriology;Asiriafo ho adesua
Astana;Astana
astatine;astatine a wɔde yɛ aduru
astaxanthin;astaxanthin a wɔde yɛ aduru
aster;aster
asterisk;nsoromma mu hwɛbea
asterism;nsoromma mu hwɛ
Asterix;Asterix a ɛyɛ nwonwa
astern;akyi
asteroid belt;asteroid abɔso
asteroid;okyinnsoromma ketewaa bi
asthenosphere;asthenosphere a ɛwɔ nipadua no mu
asthma;ayamtu
asthmatic;ayamtu
astigmatism;astigmatism a ɛma obi hwɛ ade
astonish;ahodwiriw
astonished;a ne ho dwiriw no
astonishing;ɛyɛ nwonwa
astonishment;ahodwiriwde
astound;ahodwiriw
astounding;ɛyɛ nwonwa
astraddle;astraddle a wɔde di dwuma
Astrakhan;Astrakhan kasa mu
astral;nsoromma mu hwɛ
astray;ayera
astride;astride a wɔde tu mmirika
astringency;astringency a ɛyɛ den
astringent;astringent a ɛyɛ den
astrobleme;astrobleme a wɔfrɛ no astrobleme
astrocyte;nsoromma mu hwɛ
astroid;astroid, a ɛyɛ astroid
astrolabe;nsoromma mu hwɛ
astrologer;nsoromma mu hwɛfo
astrological sign;nsoromma mu hwɛ ho sɛnkyerɛnne
astrological;nsoromma mu hwɛ
astrology;nsoromma mu hwɛ
astronaut;ahunmu kwankyerɛfo
astronautic;ahunmu akwantu ho nsɛm
astronautics;ahunmu akwantu ho adesua
astronomer;nsoromma ho nimdefo
astronomical unit;nsoromma mu hwɛ ho adesua
astronomical;nsoromma mu hwɛ
astronomy;nsoromma mu hwɛ
astrophysical;nsoromma mu hwɛ
astrophysicist;nsoromma mu hwɛ ho ɔbenfo
astrophysics;nsoromma mu hwɛ ho adesua
Asturian;Asturianfo kasa
Asturianism;Asturiansom a wɔde di dwuma
Asturias;Asturias na ɛwɔ hɔ
astute;nyansapɛfo
astuteness;anifere a wɔde yɛ adwuma
Asunción;Asunción na ɛwɔ hɔ
asunder;asunder
asylee;asylee
asylum seeker;guankɔbea hwehwɛfo
asylum;guankɔbea
asymmetrical;asymmetrical a ɛnyɛ pɛpɛɛpɛ
asymmetry;asymmetry a ɛnyɛ pɛpɛɛpɛ
asymptomatic;a enni sɛnkyerɛnne biara
asymptote;asymptote a ɛwɔ nipadua no mu
asymptotic;a ɛnyɛ asymptotic
asynchrony;asynchrony a ɛnyɛ adwuma
asyndeton;asyndeton na ɛyɛ adwuma
at a loss;wɔ adehwere mu
at a time;bere bi mu
at all costs;sɛnea ɛte biara no
at all;koraa
at any rate;sɛnea ɛte biara
at dark;wɔ sum mu
at death's door;wɔ owu pon ano
at ease;wɔ ahotɔ mu
at first glance;sɛ wohwɛ no nea edi kan a
at first;mfiase no
at gunpoint;wɔ atuo a wɔde kyerɛ no so
at hand;wɔ nsam
at home;wɔ fie
at large;wɔ ɔkwan a ɛkɔ akyiri so
at last;awiei koraa no
at least;anyɛ bie koraa
at length;bere tenten mu
at loggerheads;wɔ akasakasa mu
at most;sɛ ɛboro so a
at night;anadwo
at once;prɛko pɛ
at random;wɔ random so
at sign;wɔ sɛnkyerɛnne so
at sixes and sevens;wɔ mfe asia ne ason mu
at stake;wɔ asiane mu
at the expense of;wɔ ɛka a wɔbɔ wɔ
at the feet of;wɔ nan ase
at the hands of;wɔ nsa a
at the helm;wɔ hyɛn no kwankyerɛfo no so
at the latest;anyɛ yiye koraa no
at the moment;mprempren yi
at the ready;wɔ bere a wɔasiesie wɔn ho no
at the same time;bere koro no ara mu
at times;ɛtɔ mmere bi a
at worst;nea enye koraa no
at-grade;wɔ-adesuakuw mu
at;wɔ
ataman;ataman
ataraxia;ataraxia a ɛma obi ho yɛ hyew
atavistic;atavistic a wɔde di dwuma
ataxia;ataxia a ɛma obi nya ataxia
atelophobia;atelophobia a ɛyɛ hu
atemoya;atemoya
atemporal;bere a ɛnyɛ bere mu de
atheism;Onyankopɔn a wonnye nni
atheist;obi a onnye nni sɛ Onyankopɔn wɔ hɔ
atheistic;onnye nni sɛ Onyankopɔn wɔ hɔ
Athena;Athena na ɔkyerɛwee
Athenian;Atenefo
Athens;Atene, na ɛwɔ hɔ
atherectomy;atherectomy a wɔde twa ntini
athermic;athermic a ɛyɛ hyew
atherosclerosis;ntini mu yare a ɛma mogya tu
atherosclerotic;ntini mu ntini mu yare
athlete's foot;agumadifo nan
athlete;agodini
athletic shoe;agumadi mpaboa
athletic;agumadi mu
athletics;agumadi a wɔde di dwuma
Athonite;Athonitefoɔ
athwart;athwart na ɛyɛ
Atkins diet;Atkins aduan a wɔde di dwuma
Atlanta;Atlanta
Atlantic herring;Atlantic akutu a wɔfrɛ no herring
Atlantic Ocean;Atlantic Po no
Atlantic salmon;Atlantic salmon a wɔfrɛ no salmon
Atlantic tomcod;Atlantic tomcod a wɔfrɛ no tomcod
Atlantic;Atlantic
Atlantis;Atlantis na ɛwɔ hɔ
Atlas Mountains;Atlas Mmepɔw so
atlas;atlas a wɔde yɛ adwuma
atlatl;atlatl
ATM;ATM a wɔde yɛ adwuma
atmosphere;wim tebea
atmospheric pressure;wim nhyɛso a ɛwɔ wim
atmospheric;wim tebea mu
atoll;atoll a ɛwɔ hɔ
atom;atom
atomic bomb;atom ɔtopae a wɔde tow
atomic energy;atom ahoɔden
atomic mass;atom a ɛyɛ den
atomic nucleus;atom nuklea a ɛwɔ nipadua no mu
atomic number;atom nɔma
atomic weight;atom mu duru
atomic;atom ho nsɛm
atomicity;atom a ɛyɛ den
atomize;atomize
atomizer;atomizer a wɔde yɛ nneɛma
atomoxetine;atomoxetine a wɔde yɛ aduru
atonal;atonal a ɛyɛ den
atone;mpata
atonement;mpata
atop;wɔ soro
atopic;atopic ho asɛm
atopy;atopy a wɔde yɛ adwuma
atovaquone;atovaquone a wɔde di dwuma
atrial fibrillation;atiridiinini a ɛyɛ den
atrial;atiridiinini
atrium;atrium a ɛwɔ nipadua no mu
atrocious;atirimɔdensɛm
atrocity;atirimɔdensɛm
atrophic;atrophic a ɛyɛ mmerɛw
atrophy;atrophy a ɛyɛ mmerɛw
atropine;atropine a wɔde yɛ adwuma
attach;fa ka ho
attachment;nkekaho
attaché;attaché a wɔde bata ho
attack;to hyɛ
attacker;ɔtowhyɛfo
attacking midfielder;mfinimfini bɔɔlbɔfo a ɔtow hyɛ wɔn so
attain;nya
attainable;a wobetumi anya
attainder;attainder a ɔnya
attainment;nkɔso a wonya
attempt;tu anamɔn
attend;kɔ
attendance;ne kɔ
attendant;ɔsomfo
attention;adwene nsisoɔ
attentive;a wɔde wɔn adwene si so
attentively;a wɔde wɔn adwene si so
attentiveness;adwene a wɔde si biribi so
attenuation;attenuation a ɛyɛ mmerɛw
attest;di adanse
attestation;adansedi krataa
attested;a wɔadi ho adanse
attic;abansoro dan atifi
Attica;Attica
Atticus;Atticus na ɔkyerɛwee
Attila the Hun;Attila a ɔyɛ Hun no
attire;ntade a wɔhyɛ
attitude;suban
attorney-in-fact;mmaranimfo-nokwasɛm
attorney;mmaranimfo
attract attention;twetwe adwene
attract;twe
attraction;deɛ ɛtwe obi
attractive;akɔnnɔ
attractively;wɔ ɔkwan a ɛyɛ anigye so
attractiveness;atwetwe adwene
attributable;nea wotumi de too gua
attribute;su
attribution;attribution a wɔde ma
attributive;su a ɛfa su ho
attrition;attrition a ɛyɛ mmerɛw
attune;attune a wɔde di dwuma
ATV;ATV a wɔde di dwuma
atypical;atypical
au contraire;au contraire na ɛwɔ hɔ
au pair;au pair na ɛyɛ
au revoir;au revoir na ɛyɛ adwuma
aubade;aubade na ɛyɛ
auburn;auburn a ɛyɛ fɛ
Auckland;Auckland na ɛwɔ hɔ
auction;aguadidan a wɔtɔn nneɛma wom
auctionable;wobetumi atɔn wɔ aguadidan mu
auctioneer;obi a ɔtɔn nneɛma wɔ aguadidan mu
audacious;akokodurufo
audacity;akokoduru a wɔde yɛ adwuma
audible;a wɔte
audience;atiefoɔ
audio guide;ɔdio akwankyerɛfo
audio;ɔdio a wɔde tie
audiobook;nhoma a wɔde tie asɛm
audiology;aso ho adesua
audiometer;audiometer a wɔde kyerɛw nsɛm
audiometry;audiometry a wɔde kyerɛw nsɛm
audiomotor;audiomotor a wɔde yɛ nneɛma
audiovisual;nea wɔde tie ne nea wɔde hwɛ
audit;akontabuo
audition;audition a wɔde yɛ adwuma
auditor;akontaabufo
auditorium;atiefo dan mu
auditory;aso a wɔde te asɛm
auger;auger a wɔfrɛ no auger
augite;augite
augment;augment
augmentative;augmentative a ɛma nneɛma yɛ kɛse
augmented reality;nokwasɛm a wɔahyɛ no den
Augsburg;Augsburg na ɔkyerɛwee
augur;augur a wɔde kyerɛ
augury;augury ho asɛm
august;ɔsanaa
Augustine;Augustine na ɔkyerɛwee
Augustus;Augusto
auk;auk
aunt;sewaa
aura;aura
aural;aural a wɔde tie asɛm
aurally;aurally
Aurelia;Aurelia na ɔkyerɛwee
Aurelius;Aurelius na ɔkyerɛwee
aureola;aureola a ɛyɛ aureola
auric;auric
auricle;auricle a ɛyɛ fɛ
auricular muscle;auricular muscle a ɛwɔ nipadua no mu
auricular;auricular a wɔde di dwuma
auriferous;auriferous a ɛyɛ den
Auriga;Auriga na ɔkyerɛwee
aurochs;aurochs a wɔde kyerɛw nsɛm
aurora;aurora a wɔfrɛ no aurora
Auschwitz;Auschwitz na ɔkyerɛwee
auscultate;auscultate a wɔde tie asɛm
auscultation;aso a wɔde tie asɛm
Ausonius;Ausonius na ɔkyerɛwee
auspices;auspices a wɔde gyina hɔ ma
auspicious;a ɛyɛ papa
austere;austere a ɛyɛ katee
austerity;kateeyɛ a wɔyɛ
austral;austral kasa mu
Australasia;Australasia na ɛwɔ hɔ
Australia;Australia
Australian dollar;Australia dɔla
Australian pelican;Australiafo akraman a wɔfrɛ wɔn pelican
Australian;Australiani
Austria-Hungary;Austria-Hungary na ɛwɔ hɔ
Austria;Austria
Austrian;Austriafo kasa
autarchy;tumidi a ɛyɛ hu
auteur;auteur a ɔkyerɛwee
authentic cadence;cadence a ɛyɛ nokware
authentic;papa
authenticate;kyerɛ sɛ ɛyɛ nokware
authenticity;nokware a ɛyɛ
author;ɔtwerɛfoɔ
authoress;ɔkyerɛwfo
authorial intent;ɔkyerɛwfo adwene
authoritarian;tumidifo
authoritative;tumidifo
authoritatively;tumidi mu
authority;tumi
authorization;tumi krataa a wɔde ma
authorize;ma tumi krataa
authorized;wɔama ho kwan
authorship;akyerɛwfo a wɔyɛ
autism;autism a ɛwɔ nipadua no mu
autist;autist ho ɔyaresafo
autistic;autisticfo a wɔwɔ hɔ
auto da fe;auto da fe
auto insurance;kar ho insurance
auto mechanic;kar ho adwumayɛfo
auto-reply;auto-reply a wɔde ma
autoantibody;autoantibody a ɛko tia nyarewa
autobiographer;obi a ɔkyerɛw n’ankasa asetra ho nsɛm
autobiographical;n’ankasa asetra ho nsɛm
autobiography;obi ankasa asetra ho nsɛm
autoblock;autoblock a wɔde siw ano
autocatalysis;autocatalysis a ɛyɛ adwuma
autocephalous;autocephalous a ɛyɛ ne ho
autochthon;autochthon a wɔde di dwuma
autochthonous;autochthonous a ɛyɛ nea ɛwɔ hɔ
autoclave;autoclave a wɔde hyɛ mu
autoconfirm;autoconfirm a wɔde si so dua
autoconfirmed;autoconfirmed a wɔde si so dua
autocracy;tumidi a ɛyɛ katee
autocrat;autocrat a ɔyɛ ɔmanpanyin
autocratic;ɔman anidanfo
autodidact;autodidact a ɔkyerɛkyerɛ obi ankasa
autofocus;autofocus a wɔde wɔn adwene si biribi so
autograph;nsaano nkyerɛwee
autoimmune;autoimmune a nipadua no tumi ko tia nyarewa
autoimmunity;autoimmunity a ɛma nipadua no tumi ko tia nyarewa
autological;autoological
autolysis;autolysis a ɛma nipadua no yɛ adwuma
automagical;automagical a wɔde yɛ adwuma
automagically;ɔkwan a ɛyɛ adwuma ankasa so
automate;automate na ɛyɛ adwuma
automated;afiri a wɔde yɛ adwuma
automatic;automatic
automatically;ɔkwan biara so
automation;automation a wɔde yɛ adwuma
automatism;automatism a wɔde yɛ adwuma
automaton;afiri a wɔde yɛ adwuma
automobile;kar a wɔde di dwuma
automotive;kar a wɔde yɛ adwuma
autonomous community;mpɔtam a ɛwɔ ahofadi
autonomous;nea ɛyɛ ne ho
