p.;kr.
preventively;wɔ ɔkwan a wɔfa so siw ano
preverb;preverb
preview;nhwɛso a edi kan
previous;dada
previously;kan no
prey;hanam
Priabonian;Priabonian na ɔkyerɛwee
Priam;Priam na ɔkyerɛwee
priapism;priapism a wɔde di dwuma
price tag;bo a wɔakyerɛw so
price;boɔ
priceless;a ɛsom bo
prick;prick
prickle;nsɔe a ɛyɛ nsɔe
prickly pear;nsɔe a ɛyɛ nsɔe
prickly;nsɔe a ɛyɛ nsɔe
prickteaser;prickteaser a wɔde twitwiw nneɛma
pride;ahantan
priest;sɔfoɔ
priestess;ɔsɔfobea
priesthood;asɔfodi
prim;prim
prima donna;prima donna a ɛyɛ den
primal;primal
primaquine;primaquine a wɔde di dwuma
primarily;titiriw no
primary colour;kɔla titiriw
primary school;mfitiase sukuu
primary;mfiaseɛ
primate;primate a wɔfrɛ no primate
prime minister;ɔmanpanyin
prime number;akontaahyɛde titiriw
prime time;bere a ɛho hia sen biara
prime;kantinka
primer;primer
primeval;mfitiase de
Primitive Irish;Irelandfo a wɔyɛ tete de
primitive;primitive a ɛyɛ tete de
primitively;wɔ tete mmere mu
primitiveness;tete nneɛma a wɔyɛ
primly;primly na ɛyɛ
primogeniture;primogeniture a wɔde di dwuma
primordial sea;mfitiase po
primordial soup;mfitiase soup a wɔde yɛ aduan
primordial;mfitiase de
Primorsky Krai;Primorsky Krai na ɔkyerɛwee
primrose;primrose a wɔfrɛ no primrose
Prince Charming;Prince Charming a ɔyɛ ɔbarima
Prince Edward Island;Prince Edward Supɔw so
Prince of Darkness;Esum mu Ɔheneba
Prince of Wales;Wales Ɔheneba
prince;ɔheneba
princely;ɔheneba
princess;ɔhene babaa
principal;ankasa
principality;ahemman a wɔde di dwuma
principle;nnyinasosɛm
principled;nnyinasosɛm so
Pringle;Pringle na ɔkyerɛwee
print;tintim
printer;printa a wɔde tintim nhoma
printing house;nhoma tintimbea
printout;nhoma a wɔatintim
prion;prion
prior;ansa na
prioritization;nneɛma a wɔde di kan
prioritize;fa nneɛma di kan
prioritized;a wɔde di kan
priority seat;nkongua a wɔde di kan
priority;asɛnhia
Priscilla;Priskila na ɔkyerɛwee
prism;prism
prismatic;prism a wɔde yɛ adwuma
prison cell;afiase dan mu
prison guard;afiase wɛmfo
prison;afiase
prisoner of war;ɔko mu ɔdeduani
prisoner;ɔdeduani
prissy;prissy
pristine;pristine a ɛho ntew
privacy policy;kokoam nsɛm ho nhyehyɛe
privacy;kokoamusɛm
private car;ankorankoro kar
private detective;kokoam ɔsraani a ɔhwehwɛ nkurɔfo ho nsɛm mu
private law;kokoam mmara
private life;kokoam asetra
private property;ankorankoro agyapade
private;kokoa mu
privateer;privateer a ɔyɛ kokoam adwuma
privatization;ankorankoro a wɔde wɔn ho bɛhyɛ mu
privatize;de hyɛ ankorankoro nsa
privet;privet a wɔde yɛ adwuma
privilege;akwannya
privileged;hokwan a ɛwɔ hɔ
privy council;privy agyinatukuw
prize;ɛboɔ
prizewinning;nkonimbo a wonya
Priština;Priština na ɔkyerɛwee
pro memoria;pro nkaeɛ a wɔde bɛkae
pro-life;a ɛfa asetra ho
pro-lifer;pro-abrabɔ ho ɔbenfo
proactive;ade a wɔyɛ no ntɛm
proactively;wɔ ɔkwan a ɛyɛ nnam so
probability;nea ebetumi aba
probable;ɛbɛyɛ sɛ
probably;ebia
probate court;probate asɛnnibea
probe;nhwehwɛmu
probity;nokwaredi a wɔde di dwuma
problem;ɔhaw
proboscis;proboscis a ɛwɔ nipadua no mu
procedural law;mmara a ɛfa nhyehyɛe ho
procedure;dwumadikwan
proceed;toa so
proceeds;sika a wonya fi mu
procerus;procerus a wɔde yɛ adwuma
process;kwan
processed cheese;cheese a wɔayɛ ho adwuma
procession;apontow a wɔde di dwuma
processor;processor a wɔde yɛ adwuma
proclaim;bɔ dawuru
proclamation;mpaemuka a wɔbɔ
proclivity;su a ɛma obi yɛ ade tra so
procrastinate;twentwɛn nneɛma ase
procrastination;nneɛma a wɔtwentwɛn so
procrastinator;obi a ɔtwentwɛn nneɛma ase
procreate;awo mma
procrustean;procrustean a ɛwɔ akyi
proctologist;proctologist ho ɔbenfo
proctology;proctology ho adesua
Procyon;Procyon na ɔkyerɛwee
prod;prod
prodigal son;ɔba hohwini
prodigy;prodigy a ɛyɛ nwonwa
produce;yɛ
producer price index;nneɛma a wɔyɛ no bo a wɔde kyerɛ
producer;nea ɔyɛ nneɛma
producible;a wotumi yɛ
product placement;nneɛma a wɔde si hɔ
product;adwadeɛ
production;adeyɛ
productive;a ɛsow aba
productivity;aba a wɔyɛ no yiye
Produnova;Produnova a wɔde yɛ nneɛma
profane;asɛm a ɛho ntew
profanity;kasafĩ a wɔka
profess;kyerɛ sɛ
profession;adwuma
professional;adwumayɛni
professionalize;yɛ adwumayɛfo a wɔyɛ adwumaden
professionally;wɔ adwumayɛ mu
professor;ɔbenfo
proficiency;ahokokwaw a wɔde yɛ adwuma
profile;ho asɛm
profiling;profiling a wɔde kyerɛw nsɛm
profit margin;mfaso a wonya fi mu
profit sharing;mfaso a wɔkyɛ
profit;mfasoɔ
profitable;mfaso a ɛwɔ so
profligacy;ɔsɛe a wɔyɛ
profligate;ɔsɛe ade
profound;boro so
profundity;nsɛm a emu dɔ
profusion;dodow a ɛdɔɔso
progenitor;agyanom
progeny;asefo
progesterone;progesterone a wɔde di dwuma
prognathism;prognathism a ɛma obi nyinsɛn
prognosis;nkɔmhyɛ a wɔde kyerɛ
prognostic;nkɔmhyɛ a wɔde kyerɛ
prognosticate;nkɔmhyɛ a ɛbɛba
program;dwumadi no
programmable;a wotumi yɛ ho nhyehyɛe
programmer;programmer a ɔyɛ nhyehyɛe
programming language;programming kasa a wɔde yɛ nhyehyɛe
programming;nhyehyɛe a wɔyɛ
progress;mpuntuo
progression;nkɔso a ɛkɔ so
progressive rock;ɔbotan a ɛkɔ so nya nkɔso
progressive;nkɔso a ɛkɔ so
progressively;nkakrankakra
progressivism;nkɔso ho adwene
prohibit;bara
prohibition;bara a wɔbara
project management;adwuma no sohwɛ
project manager;adwuma no sohwɛfo
project;dwumadie
projectile vomit;projectile a wɔde fa ade
projectile;projectile a wɔde tu mmirika
projection;projection a wɔde kyerɛ
projector;projector a wɔde kyerɛ nneɛma
prokaryote;prokaryote a wɔde yɛ ade
prolactin;prolactin a wɔde yɛ adwuma
prolepsis;prolepsis a ɛma obi ho kyere no
proletarian;adwumayɛfo a wɔyɛ adwumaden
proletariat;adwumayɛfo a wɔyɛ adwumaden
proliferate;dɔɔso
proliferation;dodow a ɛdɔɔso
prolific;a ɛdɔɔso
proline;proline a wɔfrɛ no proline
prolix;prolix a ɛyɛ kɛse
prolixity;prolixity a ɛdɔɔso
prologue;nnianim asɛm
prolong;tenten
prolonged;bere tenten
promastigote;promastigote a wɔde hyɛ nipadua mu
promenade;promenade a wɔde nantew
promethazine;promethazine a wɔde ma
Prometheus;Prometheus na ɔkyerɛwee
promethium;promethium a wɔde yɛ aduru
prominence;dibea a ɛkorɔn
prominent;edi mu
prominently;a ɛda nsow
promiscuity;aguamansɛm a wɔde di dwuma ɔkwammɔne so
promiscuous;ɔbrasɛefo
promiscuously;wɔ ɔkwan a ɛyɛ aguamammɔ so
promise;hyɛ bɔ
Promised Land;Bɔhyɛ Asase
promising;a ɛhyɛ bɔ
promissory note;bɔhyɛ krataa
promo;promo
promontory;promontory a ɛwɔ soro
promote;bɔ dawuro
promotion;animkɔ
promotor;promotor a ɔhyɛ nkuran
prompt;ntɛm
prompter;prompter a ɔde hwehwɛ nsɛm mu
promptness;ntɛm a wɔyɛ
promulgate;bɔ amanneɛ
pronaos;pronaos a ɛwɔ hɔ
prone;ɛtaa si
prong;prong
pronged;pronged a ɛyɛ den
pronominal verb;adeyɛ asɛm a ɛkyerɛ edinnsiananmu
pronominal;edinnsiananmu
pronoun;edinnsiananmu
pronounce;bɔ din
pronounceable;wotumi bɔ din
pronto;pronto
pronunciation;ne ka
proof;nnyinasoɔ
proofing;adansedi a wɔde ma
proofread;akenkan a wɔasiesie no yiye
prop;prop
propaganda;nsɛmmɔnedi ho nsɛmmɔnedi
propagandist;ɔsɛmpatrɛwfo
propane;propane a wɔfrɛ no propane
proparoxytone;proporoxytone a wɔde yɛ adwuma
propel;propel
propellent;propellent a ɛma obi tumi tu mmirika
propeller;propeller a wɔde tu mmirika
propene;propene a wɔfrɛ no propene
propensity;propensity a ɛma obi yɛ ade
proper fraction;fã ketewaa bi a ɛfata
proper noun;edin ankasa
proper;papa
property management;agyapadeɛ sohwɛ
property rights;agyapade hokwan ahorow
property tax;agyapade ho tow
property;agyapadeɛ
propfan;propfan
prophase;nkɔmhyɛ
prophecy;nkɔmhyɛ
prophesy;hyɛ nkɔm
prophet;odiyifo
prophetess;odiyifo ɔbea
prophetic;nkɔmhyɛ mu
prophylactic;aduru a wɔde siw yare ano
prophylaxis;aduru a wɔde siw yare ano
propinquity;bɛn a wɔbɛn wɔn ho
propiska;propiska a wɔde di dwuma
propitiation;mpata a wɔde ma
propolis;propolis a wɔfrɛ no propolis
proportion;nkyɛmu
proportional;nea ɛne ne ho hyia
proportionality;nea ɛne ne ho hyia
proposal;deɛ yɛde ato anim
propose;de nyansahyɛ ma
proposition;ɔkasamu a wɔde di dwuma
propound;asɛm a wɔka kyerɛ
proprietary;a ɛyɛ ne dea
proprietor;owura no
propriety;sɛnea ɛfata
proprioception;proprioception a ɛma obi nya ne ho
propyl;propyl
propyne;propyne a wɔde yɛ adwuma
prorate;prorate
prorogue;prorogue a wɔde di dwuma
pros and cons;mfaso ne ɔhaw ahorow a ɛwom
prosaic;prosaic a wɔde kyerɛw nsɛm
prosciutto;prosciutto a wɔde hyɛ nipadua mu
proscribe;bara a wɔbara
prose;prose a wɔde kyerɛw nsɛm
prosecutor;mmaranimfo
proselytism;nnipa a wɔsakra wɔn ho
proselytize;wɔbɛsakra nnipa
proso millet;proso atoko a wɔde yɛ atoko
prosodic;prosodic a wɔde di dwuma
prosody;prosody a wɔde kyerɛw nsɛm
prosopagnosia;prosopagnosia a ɛma obi nya ɔyare mmoawa
prosopopesis;prosopopesis a ɛwɔ nipadua no mu
prospect;anidasoɔ
prospective;nea ɛbɛba daakye
prosperity;yiedie
prosperous;nkɔsoɔ
prostaglandin;prostaglandin a wɔde di dwuma
prostate;prostate a ɛwɔ nipadua no mu
prostatic;prostatic a ɛwɔ nipadua no mu
prostatitis;prostatitis a ɛma obi ho kyere no
prosthesis;afiri a wɔde yɛ nipadua no
prosthetic;afiri a wɔde yɛ nipadua no
prostitute;aguaman
prostitution;tuutuusi
prostokvasha;prostokvasha na ɛyɛ adwuma
prostrate;ɔkotow
prostyle;prostyle a wɔde yɛ prostyle
prosumer;prosumer a ɔyɛ adwuma wɔ hɔ
protactinium;protactinium a wɔde yɛ nneɛma
protagonist;ɔyɛ ɔkannifo
protean;protean a wɔde di dwuma
protease;protease a wɔde yɛ adwuma
protect;bɔ ban
protected;wɔabɔ ho ban
protection money;ahobammɔ sika
protection;ahobammɔ
protectionism;ahobammɔ ho adwene
protective;ahobammɔ
protector;ɔbɔfoɔ
protectorate;ahobammɔ a wɔde ma
protectress;obi a ɔbɔ ne ho ban
protein;protein
proteome;proteome a wɔde yɛ adwuma
proteomic;proteomic a wɔde yɛ adwuma
proteomics;proteomics ho adesua
protest;ɔsɔretia a wɔde kyerɛ
Protestantism;Protestantsom
protester;ɔsɔretiafo
Proteus;Proteus a wɔfrɛ no Proteus
prothesis;prothesis a wɔde yɛ nipadua no
prothrombin;prothrombin a wɔde di dwuma
prothrombotic;prothrombotic a ɛma mogya tu
protist;protist a ɔyɛ ɔbarima
protium;protium a wɔfrɛ no protium
Proto-Altaic;Proto-Altaic kasa mu
Proto-Indo-European;Proto-Indo-Europafo a wɔyɛ adwuma wɔ hɔ
proto-language;proto-kasa a wɔde di dwuma
Proto-Slavic;Proto-Slavic kasa mu
protologism;nhwɛsode a wɔde di dwuma
proton;proton a wɔde yɛ adwuma
protonic;protonic a wɔde yɛ adwuma
protoplanet;protoplanet a ɛwɔ hɔ
protoplanetary;protoplanetary a ɛyɛ okyinnsoromma ahorow
protoplast;protoplast a wɔde yɛ nhwehwɛmu
protostome;protostome a wɔde yɛ ade
prototype;nhwɛsode a wɔde yɛ nhwɛso
protozoan;protozoan a wɔfrɛ no protozoan
protozoic;protozoic a ɛwɔ hɔ
protract;kyɛ
protracted;bere tenten
protractor;protractor a wɔde twetwe nneɛma
protrude;puepue
protuberance;protuberance a ɛyɛ den
proud;ahohoahoa
proudly;ahantan so
Proustian;Proustian na ɔkyerɛwee
provable;a wobetumi adi ho adanse
provably;a ɛda adi sɛ
prove;fa nnyinasoɔ bra
provenance;nea efi mu ba
Provence;Provence na ɛwɔ hɔ
Provençal;Provençal kasa mu
proverb;bɛ
Proverbs;Mmebusɛm
provide;ma
provided;de aba
Providence;Providence a ɛwɔ hɔ
provident;provident a wɔde ma
providential;providential a wɔde ma
providentness;ahwɛyiye a wɔde hwɛ nneɛma so
provider;ɔdemafo
province;mansini
provincial;ɔmantam mu
provision;kwammɔ
provisional;bere tiaa mu de
provisionally;bere tiaa mu
provocateur;obi a ɔhyɛ abufuw
provocation;abufuw a wɔde hyɛ nkurɔfo abufuw
provocative;a ɛkanyan akɔnnɔ
provoke;ahyɛ abufuw
provost;provost a ɔyɛ ɔpanyin
prow;prow
prowess;ahokokwaw
prowl;kyinkyin
proxenetism;proxenetism a wɔde di dwuma
Proxima Centauri;Proxima Centauri a ɛwɔ hɔ
proximal;proximal a ɛwɔ hɔ
proximate cause;nea ɛde ba a ɛbɛn
proximity;bɛn a ɛbɛn
proxy;proxy a wɔde gyina hɔ ma
prudence;anifere a wɔde yɛ adwuma
prudent;anifere kwan so
prudently;anifere kwan so
prudish;prudish a wɔde di dwuma
prune;prune a wɔde twitwa
pruning;ntwitwiridii a wotwitwa
Prussia;Prussia na ɛwɔ hɔ
pry;pry
Przewalski's horse;Przewalski pɔnkɔ no
précis;précis a ɛwɔ hɔ
PS;PS
psalm;dwom
Psalms;Nnwom
psalter;dwom kyerɛwfo
psaltery;nnwom nhoma
psammoma;psammoma a wɔde di dwuma
psephology;psephology ho adesua
pseudo-;pseudo- .
pseudocode;pseudocode a wɔde kyerɛw nsɛm
pseudocyesis;pseudocyesis a wɔde di dwuma
pseudoephedrine;pseudoephedrine a wɔde yɛ aduru
pseudogene;pseudogene a ɛyɛ atoro
pseudonym;din a wɔde frɛ obi
pseudopod;pseudopod a wɔde di dwuma
pseudoscience;atoro nyansahu
pseudoscientific;nyansahu a ɛnyɛ nokware
pshaw;pshaw na ɛyɛ
psi;psi
psicose;psicose
psittacosis;psittacosis a ɛma obi nya ɔyare
psoriasis;psoriasis a ɛma obi ho kyere no
psyche;adwene mu yare
psyched;psyched
psychedelic;adwene mu nneɛma a ɛma obi nya adwene
psychiatric;adwenemyare ho aduruyɛ
psychiatrist;adwenemyare ho oduruyɛfo
psychiatry;adwenemyare ho aduruyɛ
psycho-;adwene mu- .
psycho;psycho
psychoactive;adwene mu adeyɛ
psychoanalysis;adwene mu nhwehwɛmu
psychoanalyst;adwene mu nhwehwɛmufo
psychoanalytic;adwene mu nhwehwɛmu
psychoanalyze;adwene mu nhwehwɛmu
psychogenic;adwene mu nneɛma a ɛma obi nya adwene
psychogeriatrician;adwene mu nkwaadɔm ho oduruyɛfo
psychokinesis;adwene mu yare a ɛma obi yɛ ade
psychological;adwene mu nimdeɛ
psychologically;adwene mu
psychologist;adwene ne nneyɛe ho ɔbenfo
psychology;adwene ne nneyɛe ho nimdeɛ
psychometry;adwene mu nhwehwɛmu
psychonaut;adwene mu ɔyaresafo
psychopath;adwene mu yarefo
psychopathology;adwene mu yare ho adesua
psychopathy;adwene mu yare
psychopolitics;adwene mu amammuisɛm
psychopomp;psychopomp a wɔde yɛ adwene
psychosis;adwene mu yare
psychosocial;adwene ne asetram nsɛm
psychosomatic;adwene ne nipadua mu nneɛma
psychosynthesis;adwene mu nneɛma a wɔde yɛ adwuma
psychotherapy;adwene mu ayaresa
psychotic;adwene mu yare
psychro-;psychro- .
psychrometer;psychrometer a wɔde kyerɛ sɛnea obi te
ptarmigan;ptarmigan a wɔde di dwuma
pteridosperm;pteridosperm a wɔde yɛ aduru
pterodactyl;pterodactyl a wɔde yɛ aduru
pterosaur;pterosaur a wɔfrɛ no pterosaur
Ptolemy;Ptolemy na ɔkyerɛwee
pub crawl;pub crawl a wɔwea
pub;pub
pube;pube a ɛyɛ pube
puberty;bra
pubescent;a ɛyɛ pubescent
pubic hair;pubic hair
pubic region;pubic mpɔtam hɔ
pubic;pubic
pubis;pubis a ɛwɔ awotwaa mu
public domain;ɔmanfoɔ dea
public figure;ɔmanfo mu nipa
public good;ɔmanfo yiyedi
public historian;ɔmanfo abakɔsɛm kyerɛwfo
public history;ɔmanfo abakɔsɛm
public holiday;ɔmanfo dapɔnna
public law;ɔmanfo mmara
public life;baguam asetra
public opinion;ɔmanfo adwene
public policy;ɔmanfo nhyehyɛe
public purse;ɔmanfo sika kotoku
public relations;ɔmanfo ntam abusuabɔ
public service;ɔman adwuma
public telephone;ɔmanfo telefon so
public toilet;ɔmanfo tiafi
public transport;ɔmanfo kar a wɔde fa nnipa
public trustee;ɔmanfoɔ a wɔde wɔn ho to so
public;dwam
publication;nhoma a wɔatintim
publicity;baguam asɛm
publicly;wɔ baguam
publification;nhoma tintim
publish;tintim
publisher;ɔdawurubɔfo
publishing house;nhoma tintim adwumayɛbea
puce;puce
pucelle;pucelle a wɔfrɛ no pucelle
puck;puck a wɔde di dwuma
pucker;pucker a ɛyɛ hu
Pudahuel;Pudahuel na ɔkyerɛwee
pudding;pudding a wɔde di dwuma
puddle;atɛkyɛ
puddling;puddling a wɔde hyɛ nipadua mu
pudor;pudor
pudu;pudu
Puducherry;Puducherry na ɛwɔ hɔ
Puebla;Puebla na ɛwɔ hɔ
puerile;puerile a ɛyɛ mmofra de
puerperal;awo bere mu
puerperium;puerperium a ɛwɔ hɔ
Puerto Rican;Puerto Ricofo
Puerto Rico;Puerto Rico na ɛwɔ hɔ
puff pastry;puff pastry a wɔde yɛ aduan
puff;puff a ɛyɛ hu
puffadder;puffadder a ɛyɛ hu
puffed rice;aburow a wɔabɔ no akuturuku
puffin;puffin a wɔfrɛ no puffin
pug-nosed;pug-nose a wɔde hwene ayɛ
pug;pug
pugilist;pugilist a ɔbɔ bɔɔl
pugnacious;ɔko a ɛyɛ hu
puke;puke
pull an all-nighter;twe anadwo mũ nyinaa
pull one's socks up;twe obi sɔks kɔ soro
pull over;twe kɔ soro
pull someone's leg;twe obi nan
pull-up;twetwe-kɔ soro
pull;twe
pullet;pullet a ɛyɛ pullet
pulley;pulley a wɔde twetwe nneɛma
pulmonary alveolus;ahurututu mu ntini a ɛwɔ ahurututu mu
pulmonary;ahurututu mu
pulp fiction;pulp ayɛsɛm
pulp magazine;pulp nsɛmma nhoma
pulp;pulp a wɔde yɛ aduru
pulpit;asɛnka agua so
pulpy;pulpy a ɛyɛ pulpy
pulsar;pulsar a ɛyɛ hu
pulsate;pulsate a ɛyɛ den
pulsatile;pulsatile a ɛyɛ den
pulse;pulse a ɛyɛ den
pulsometer;pulsometer a wɔde kyerɛ sɛnea obi te
pulverulent;a ɛyɛ mmerɛw
pumice;pumice a ɛyɛ hu
pummel;pummel
pump attendant;pɔmpɛ sohwɛfo
pump iron;pɔmpɛ dade
pump;pɔmpɛ
pumping iron;dade a wɔde pɔmpɔ
pumpjack;pɔmpɛ a wɔde yɛ adwuma
pumpkin pie;pumpkin pie a wɔde yɛ aduan
pumpkin;pɔmken
pun;pun
punch line;punch line a wɔde abɔ akuturuku
punch list;punch list a wɔahyehyɛ
punch;punch
punching bag;punching bag a wɔde bɔ akuturuku
punctilious;bere a wɔde yɛ adwuma
punctual;di berɛ so
punctuality;bere so a wodi
punctually;bere ano
punctuate;nkyerɛwde agyiraehyɛde
punctuation mark;nkyerɛwde agyiraehyɛde
punctuation;nkyerɛwde a wɔde hyɛ mu
puncture;a wɔde tow
pundit;pundit a ɔyɛ ɔbenfo
pungency;pungency a ɛyɛ den
pungent;a ɛyɛ yaw
Punic;Punic a ɛyɛ punic
punish;twe aso
punisher;asotwefo
punishment;asotwe a wɔde ma
punitive;asotwe a wɔde ma
Punjab;Punjab na ɛwɔ hɔ
Punjabi;Punjabi kasa
Puno;Puno na ɔkyerɛwee
punt;punt
puny;puny
pupa;pupa
pupil;osuani
puppet show;puppet show
puppet;abofra a ɔyɛ abofra
puppeteer;abofra a ɔyɛ abofra
Puppis;Puppis a wɔyɛ mmofra
puppy dog eyes;puppy kraman aniwa
puppy;akraman ba
purchase;tɔ
purchasing power;tumi a wɔde tɔ ade
pure land;asase a ɛho tew
pure mathematics;akontaabu kronkron
pure;korogyee
puree;puree a wɔde yɛ aduru
Purepecha;Purepecha a ɛyɛ purepecha
purgative;aduru a wɔde tew nneɛma ho
Purgatory;Ahodwiragya
purge;purge
purification;ahotew ho
purify;tew ho
Purim;Purim
purism;purism a wɔde di dwuma
purist;purist
puritanism;puritanism a wɔde di dwuma
purity;ahotew
purlin;purlin
purloin;purloin a wɔde di dwuma
purple dye murex;aduru a wɔde yɛ ade kɔkɔɔ murex
purple emperor;ɔhempɔn a ne ho yɛ kɔkɔɔ
purple heron;ɔkraman a ne ho yɛ kɔkɔɔ
purple martin;martin a ɛyɛ kɔkɔɔ
purple yam;yam a ɛyɛ kɔkɔɔ
purple;purple
purplish;a ɛyɛ kɔkɔɔ
purport;purport
purportedly;wɔkyerɛ sɛ
purpose;botaeɛ
purposefully;atirimpɔw mu
purpure;purpure a ɛyɛ kɔkɔɔ
purr;purr
purse;sikabɔtɔ
purslane;purslane a ɛyɛ den
pursuant;sɛnea ɛte no
pursue;di akyire
pursuit;di akyire
pus;akisikuru
push-up;push-up a wɔde kɔ soro
push;pia
pushing up daisies;daisies a wɔpia kɔ soro
Pushkin;Pushkin na ɔkyerɛwee
pushover;pushover
pusillanimity;pusillanimity a wɔde di dwuma
pusillanimous;pusillanimous a wɔde di dwuma
Puss in Boots;Puss wɔ Boots mu
pussy magnet;awotwaa mu magnet
pussy;akuturuku
pussyman;pussyman a ɔyɛ ɔbarima
pussywhipped;wɔabɔ no akuturuku
pustule;akisikuru a ɛyɛ hu
put an end to;de n’awiei
put away;de to nkyɛn
put forward;de too gua
put on airs;de gu mframa so
put on weight;fa wo mu duru to soro
put on;fa hyɛ
put one's mind to it;fa obi adwene si so
put out;de adum
put through;de fa mu
put to bed;de to mpa so
put to sleep;de kɔda
put to use;de di dwuma
put together;wɔde bom
put up with;boasetɔ
put up;de to hɔ
put;fa to
putative;a wosusuw sɛ ɛyɛ
Putin;Putin na ɔkyerɛwee
Putrajaya;Putrajaya na ɔkyerɛwee
Putre;Putre a ɛyɛ den
putrescible;nea ɛporɔw
putsch;putsch a wɔde hyɛ nkurɔfo mu
putting green;de green bɛhyɛ mu
putty;putty a wɔde yɛ nneɛma
puzzle;ahodwiriwde
pygidium;pygidium a wɔfrɛ no pygidium
pygmy chimpanzee;pygmy chimpanzee a ɔyɛ ɔkraman
pygmy sperm whale;pygmy sperm whale a ɔyɛ ɔkraman
pygmy;pygmy a ɔyɛ ɔbarima
pylon;pylon
pylorus;pylorus a wɔfrɛ no pylorus
Pyongyang;Pyongyang na ɛwɔ hɔ
pyramid scheme;pyramid nhyehyɛe
pyramid;pyramid a ɛyɛ fɛ
pyramidal;pyramidal a ɛyɛ fɛ
pyramidic;pyramid a ɛyɛ fɛ
pyran;pyran a ɛyɛ fɛ
pyranic;pyranic a ɛyɛ fɛ
pyranose;pyranose a wɔfrɛ no pyranose
pyre;pyre a ɛyɛ hyew
Pyrenean ibex;Pyrenean akraman a wɔfrɛ wɔn ibex
Pyrenean;Pyrenean a ɛwɔ hɔ
Pyrenees;Pyrenees a ɛwɔ hɔ
pyridine;pyridine a wɔde yɛ adwuma
pyrimidine;pyrimidine a wɔde yɛ adwuma
pyrite;pyrite a wɔfrɛ no pyrite
pyro;pyro
pyrochlore;pyrochlore a wɔde yɛ adwuma
pyroclastic flow;pyroclastic nsu a ɛsen
pyroclastic;pyroclastic a ɛyɛ hyew
pyrokinesis;pyrokinesis a ɛma nipadua no yɛ adwuma
pyroligneous acid;pyroligneous acid a ɛyɛ hyew
pyrolysis;pyrolysis a ɛyɛ hyew
pyromania;pyromania a ɛma obi ho yɛ hyew
pyromaniac;pyromaniac a ɛyɛ hyew
pyrometer;pyrometer a wɔde kyerɛ ade
pyrotechnics;ogya a wɔde hyew nneɛma
pyrotechnist;ogyaframa ho nimdefo
pyroxene;pyroxene a wɔde yɛ adwuma
Pyrrhic victory;Pyrrhic nkonimdi
Pyrrhic;Pyrrhic na ɛyɛ
pyrrole;pyrrole a wɔfrɛ no pyrrole
pyruvate;pyruvate a wɔde yɛ adwuma
pyruvic acid;pyruvic acid a wɔde yɛ aduru
Pythagoras;Pythagoras na ɔkyerɛwee
Pythagorean theorem;Pythagoras nsusuwii hunu
Pythagorean;Pythagoras na ɔkyerɛwee
Python;Python a wɔde yɛ adwuma
Pyxis;Pyxis na ɔkyerɛwee
pâté;pâté
Pärnu;Pärnu na ɔkyerɛwee
pétanque;pétanque a wɔde di dwuma
