a;that
apɔnkɔsotefo;chivalry
apɔnkɔsotefo;equestrian
apɔnkɔsotefo;equine
apɔnkɔsotefo;horsy
apɔnkɔsotefo;stallion
apɔnkɔsotefo a wɔde mfiri yɛ adwuma;mechanized cavalry
apɔnkɔsotefo a wɔn ho yɛ duru;heavy cavalry
apɔnkɔsotefo a wɔn ho yɛ hare;light cavalry
apɔnkɔsotefo a wɔyɛ;chivalrousness
apɔtrɔ;frog
apɔw-mu-teɛteɛ;apple pie
apɔw-mu-teɛteɛ;apple sauce
apɔw-mu-teɛteɛ;gymnastic
apɔw-mu-teɛteɛ;gymnastics
apɔw-mu-teɛteɛ;physical education
apɔw-mu-teɛteɛ a wɔde nnyigyei a ɛyɛ dɛ di dwuma;rhythmic gymnastics
apɔw-mu-teɛteɛ a ɛne akasakasa;apple of discord
apɔw-mu-teɛteɛ a ɛyɛ ahabammono;apple-green
apɔw-mu-teɛteɛ bɔne;bad apple
apɔw-mu-teɛteɛ dan;gymnasium
apɔw-mu-teɛteɛ dua;apple tree
apɔw-mu-teɛteɛ ho ɔbenfo;gymnast
apɔw-mu-teɛteɛ kɛse;Big Apple
apɔw-mu-teɛteɛ ne akutu;apples and oranges
apɔw-mu-teɛteɛ nhoma;exercise book
apɔw-mu-teɛteɛ nhwiren;apple blossom
apɔw-mu-teɛteɛ nsu;apple juice
apɔw-mu-teɛteɛ sakre;exercise bicycle
apɔwmuden;healthful
apɔwmuden mu;healthily
apɛde a wɔde susuw nneɛma ho;wishful thinking
apɛde a ɛte ase;living will
apɛde a ɛyɛ den;exaction
apɛde a ɛyɛ papa;wishing well
apɛde dompe;wishbone
apɛde pa;goodwill
apɛdeɛ;cherish
apɛdeɛ;favorite
apɛdeɛ;hobby
aqua regia a wɔde di dwuma;aqua regia
aquamarine a wɔde yɛ nsu mu;aquamarine
aquaponics a wɔde yɛ nneɛma;aquaponics
aquaporin a wɔde yɛ aduru;aquaporin
aquarelle a ɛwɔ nsu mu;aquarelle
aquarium a wɔde nsu gu mu;aquarium
aquarius a ɛwɔ hɔ;Aquarius
aquifer a ɛwɔ nsuo mu;aquifer
aquiferous a ɛwɔ nsuo mu;aquiferous
aquiline a wɔfrɛ no aquiline;aquiline
aquiline hwene mu;aquiline nose
aquitaine na ɛwɔ hɔ;Aquitaine
ar;ar
ara;Ara
ara;quite
arab emirates a wɔaka abom;United Arab Emirates
arab wiase;Arab World
araba;araba
arabesque kasa;arabesque
arabfo a wɔde wɔn ho hyɛ mu;Arabisation
arabfo ahohuru bere;Arab Spring
arabfo kasa;Arabism
arabfoɔ;Arab
arabia;Arabia
arabia kasa;Arabian
arabia po no;Arabian Sea
arabic kasa;Arabic
arabic kasa a wɔde di dwuma wɔ tete mmere mu;Classical Arabic
arabic kasa mu akontaahyɛde;Arabic numeral
arabic kasa mu nkyerɛwee;Arabic script
arabinose a wɔde di dwuma;arabinose
arabo ho tan a ɛyɛ hu;Arabophobia
arabo- .;Arabo-
arachidonate a wɔde yɛ aduru;arachidonate
arachidonic acid a wɔde yɛ aduru;arachidonic acid
arachnid a wɔfrɛ no arachnid;arachnid
arachnoid mater a ɛwɔ nipadua no mu;arachnoid mater
aragon na ɔkyerɛwee;Aragon
aragon strip na ɛwɔ hɔ;Aragon Strip
aragonfo kasa;Aragonese
aragonite a wɔde di dwuma;aragonite
aral po no;Aral Sea
aram kasa;Aramaic
aramfo kasa;Aramaean
aranefo kasa;Aranese
araucanian kasa mu;Araucanian
araucanization a wɔde yɛ adwuma;Araucanization
arawak na ɛwɔ hɔ;Arawak
arbitrager;arbitrager
arbitral;arbitral
arbitrate;arbitrate
arbor;arbor
arbor da no;Arbor Day
arbëresh na ɔkyerɛwee;Arbëresh
arc;arc
arc a ɛyɛ kurukuruwa;circular arc
arc de triomphe a ɛwɔ hɔ;Arc de Triomphe
arcadia a ɛwɔ hɔ;Arcadia
arcana atitiriw;major arcana
arch;arch
arch- .;arch-
archaeanfo a wɔyɛ adwuma wɔ hɔ;Archaean
archducal a ɛwɔ hɔ;archducal
archegonium a ɛwɔ nipadua no mu;archegonium
archeopteryx a wɔfrɛ no archeopteryx;archeopteryx
archetype a wɔayɛ no tete;archetype
archi- .;archi-
archibald na ɔkyerɛwee;Archibald
archimandrite a wɔde yɛ nneɛma;archimandrite
archimedefo a ɔyɛ ade a ɛyɛ den;Archimedean solid
archimedes na ɔkyerɛwee;Archimedes
architranseme a wɔde kyerɛw nsɛm;architranseme
architrave a wɔde kyerɛw nneɛma;architrave
archlute a wɔde di dwuma;archlute
archon na ɛyɛ archon;archon
archway a wɔde fa abrannaa so;archway
arcosine a wɔde yɛ aduru;arccosine
arcsecond a ɛto so abien;arcsecond
arcsine na ɛyɛ;arcsine
arctic;Arctic
arctic akraman a wɔfrɛ wɔn hare;arctic hare
arctic kurukuruwa;Arctic Circle
arctic po no;Arctic Ocean
arctic skua a wɔfrɛ no skua a wɔfrɛ no skua;Arctic skua
arctic tern a wɔfrɛ no tern a wɔfrɛ no tern;arctic tern
arctic ɔkraman;arctic fox
arcturus a ɔkyerɛwee;Arcturus
arcuate fasciculus a ɛyɛ ntini a ɛyɛ den;arcuate fasciculus
ardent;ardent
ardor;ardor
arduity a ɛyɛ den;arduity
ardèche na ɔkyerɛwee;Ardèche
areca;areca
arene;arene
areola;areola
areopago na ɛwɔ hɔ;Areopagus
arequipa na ɛwɔ hɔ;Arequipa
ares;Ares
arezzo na ɔkyerɛwee;Arezzo
arf;arf
argan;argan
argent;argent
argentina;Argentina
argentinafo tango;Argentine tango
argentinani;Argentinian
argentinefo a wɔde wɔn ho hyɛ mu;argentine
argentinefo kɛse;greater argentine
argentite a wɔde di dwuma;argentite
arginine a wɔde di dwuma;arginine
argo;Argo
argo navis na ɔkyerɛwee;Argo Navis
argon a wɔfrɛ no argon;argon
argonaut na ɔkyerɛwee;Argonaut
argot a wɔfrɛ no argot;argot
argyle a wɔfrɛ no argyle;argyle
aria;aria
arian na ɔkyerɛwee;Arian
ariansom a wɔde di dwuma;Arianism
arica na ɔkyerɛwee;Arica
arid;arid
aridity a ɛyɛ hyew;aridity
ariel na ɔkyerɛwee;Ariel
aries a ɛwɔ hɔ;Aries
arigato a wɔde di dwuma;arigato
aril;aril
aristarch na ɔkyerɛwee;Aristarch
aristocrat a ɔyɛ ɔdefo;aristocrat
aristophanes na ɔkyerɛwee;Aristophanes
aristotle kanea a ɔde yɛ kanea;Aristotle's lantern
aristotle na ɔkyerɛwee;Aristotelian
aristotle na ɔkyerɛwee;Aristotle
arizona;Arizona
arkansas na ɛwɔ hɔ;Arkansas
arkhangelsk na ɔkyerɛwee;Arkhangelsk
armada;armada
armadillo a wɔfrɛ no armadillo;armadillo
armadillo kɛse a ne ho yɛ nhwi;big hairy armadillo
armalcolite a wɔde yɛ aduru;armalcolite
armenia kasa;Armenian
armenia mmepɔw so;Armenian Highland
armenia na ɛwɔ hɔ;Armenia
armenia ɔmanpanyin;Republic of Armenia
armeniafo ssr;Armenian SSR
armiger a ɛyɛ hu;armiger
armigerous a ɛyɛ den;armigerous
armillary kurukuruwa;armillary sphere
arminiansom a wɔde di dwuma;Arminianism
armpit;armpit
arnhem asase so;Arnhem Land
arnica;arnica
arnold na ɔkyerɛwee;Arnold
aromani kasa;Aromanian
aromaticity a ɛyɛ huam;aromaticity
arpeggio a wɔde di dwuma;arpeggio
arracacha, a ɛyɛ arracacha;arracacha
arretine na ɔkyerɛwee;Arretine
arrhythmia a ɛnyɛ den;arrhythmia
arrhythmic a ɛnyɛ den;arrhythmic
arroyo;arroyo
arsehole a wɔde hyɛ mu;arsehole
arsenate a wɔde di dwuma;arsenate
arsenic a wɔfrɛ no arsenic;arsenic
arsenic trioxide a wɔde yɛ aduru;arsenic trioxide
arsenide a wɔde yɛ adwuma;arsenide
arsenopyrite a wɔde yɛ aduru;arsenopyrite
art deco a wɔde yɛ nneɛma;Art Deco
arte povera na ɔkyerɛwee;Arte Povera
artemi na ɔyɛ;Artemis
arterial kwan so;arterial road
artesian abura;artesian well
arthropod a wɔfrɛ no arthropod;arthropod
arthur na ɔkyerɛwee;Arthur
arthurian na ɔkyerɛwee;Arthurian
artichoke a wɔde yɛ aduru;artichoke
artichoke a ɛwɔ ase;artichoke bottom
articular;articular
articulated lɔre a wɔde di dwuma;articulated lorry
articulatory a wɔde di dwuma;articulatory
artifact a wɔde ayɛ nneɛma;artifact
artifice a wɔde ayɛ nneɛma;artifice
artinskian na ɔkyerɛwee;Artinskian
arty;arty
aruba kasa mu;Aruba
arubanfo kasa;Aruban
arugula a ɛyɛ hu;arugula
aruküla na ɔkyerɛwee;Aruküla
arum sukooko;arum lily
arunachal pradesh na ɛwɔ hɔ;Arunachal Pradesh
arvanitika na ɔkyerɛwee;Arvanitika
aryanfo;Aryan
aryballos a wɔfrɛ no aryballos;aryballos
aryl;aryl
arête a wɔde di dwuma;arête
asa;exhausted
asa a wɔde gye din;hall of fame
asa so;hall
asaabo mu ɔbo;kidney stone
asaawa;cotton
asaawa;silk
asaawa;wool
asaawa a wɔde yɛ asaawa;yarn
asabow a wɔnom;drunkenness
asade;loot
asade a wɔde di dwuma;booty
asadweamfo a wɔmmɔ wɔn din;Alcoholics Anonymous
asafo mu;congregate
asafo mu;congregation
asanom a wɔnom;alcoholism
asap;ASAP
asase;earth
asase;land
asase;plot
asase a wɔde tu nneɛma;earthmoving
asase a wɔn ho yɛ na;rare earth
asase a wɔn ho yɛ na element;rare earth element
asase a wɔsɛe no;land degradation
asase a ɛho tew;pure land
asase a ɛso yɛ amamfõ;wasteland
asase a ɛsow aba;soil fertility
asase a ɛwosow;landslide
asase a ɛwɔ asase so;terrain
asase a ɛyɛ diatomaceous;diatomaceous earth
asase ahoy;land ahoy
asase ase;subsoil
asase ase;subterranean
asase ase;underground
asase ase wiase;underworld
asase bɔbea;landscape
asase da;Earth Day
asase ho adesua;geography
asase ho adesua;geology
asase ho amammuisɛm;geopolitics
asase ho awosu mu nneɛma;landscape genetics
asase ho mfonini;topographic
asase ho mfonini;topography
asase ho mfoniniyɛfo;topographer
asase ho nhyehyɛe;landscaping
asase ho nimdefo;geographer
asase ho nimdefo;geophysicist
asase ho nimdeɛ matrix;geological matrix
asase ho nneɛma ho adesua;geophysics
asase ho nsɛm;geographic
asase ho nsɛm a ɛfa asase ho;geodynamics
asase ho nsɛm a ɛfa asase ho;geophysical
asase ho nsɛm a ɛfa asase ho;geospatial
asase ho nyansahu;soil science
asase ho ɔbenfo;geologist
asase kronkron;Holy Land
asase kɛse;landmass
asase kɛse no so;mainland
asase mfonini a wɔyɛ;cartography
asase mfoniniyɛfo;mapper
asase mu hyew a wɔde yɛ adwuma;geothermal
asase mu nwansena;earthworm
asase no hweree;cost the earth
asase so a wɔde wɔn ho hyɛ mu;landfall
asase so aboɔden abo a wɔntaa nhu;rare earth mineral
asase so atopae;land mine
asase so bridge;land bridge
asase so grave;landgrave
asase so hann;earthshine
asase so ivy;ground ivy
asase so kyinhyia a ɛba fam;low Earth orbit
asase so mmere ho nhyehyɛe;geochronology
asase so mmirikatu;landrace
asase so nipa;Earthling
asase so nkyene;salt of the earth
asase so nwansena;ground beetle
asase so turo a wɔyɛ;landscape gardening
asase so wim tebea;geoclimatic
asase so zero;ground zero
asase wura;landowner
asasepɔn a ɛso sen biara;supercontinent
asasepɔn a ɛwɔ asasepɔn so;continental shelf
asasepɔn ketewaa bi;subcontinent
asasepɔn so;continental
asasepɔn so a ɛkɔ soro;continental drift
asasepɔn so mpaapaemu;continental divide
asasesin mu de;territorial
asasesin mu nsu ahorow;territorial waters
asasetam;continent
asasetaw a ɛwɔ fam;lowland
asasetaw so;plateau
asasewosow a ɛwosow;seism
asasewosow ho adesua;seismological
asasewosow ho adesua;seismology
asasewosow ho kyerɛwtohɔ;seismometer
asasewosow ho ɔbenfo;seismologist
asasewosoɔ;earthquake
asaw a wɔsaw a ɛkɔ soro;horizontal dancing
asaw dan mu;dance floor
asawfo;dancer
asbestos a wɔde yɛ adwuma;asbestos
asbestosis a wɔde di dwuma;asbestosis
ascaridole a wɔde di dwuma;ascaridole
ascetic a ɔyɛ ɔhotefo;ascetic
asceticism a wɔde wɔn ho hyɛ mu;asceticism
asclepius na ɔkyerɛwee;Asclepius
ascocarp a wɔfrɛ no ascocarp;ascocarp
ascoli piceno na ɔkyerɛwee;Ascoli Piceno
ascomycete a wɔde yɛ aduru;ascomycete
ascorbate a wɔde hyɛ nipadua mu;ascorbate
ascorbic a ɛyɛ aduru;ascorbic
ascorbic acid a wɔde yɛ aduru;ascorbic acid
ascribable a wɔde ma;ascribable
ascribe;ascribe
ase;breed
ase hɔ asɛm;footer
ase hɔ asɛm no;footnote
ase kɔ soro;bottoms up
ase ne;down with
asean nkwasɛm;ASEAN
aseda;thanks
aseda a wɔde ma;gratefulness
aseda a wɔde ma;thankful
aseda a wɔde ma;thankfulness
aseda a wɔde ma;Thanksgiving
aseda a yɛde ma;thanks to
aseda biara nni ho;thankless
aseda nka hwee;thanks for nothing
aseda nka onyankopɔn;thank goodness
aseda pii;many thanks
aseda pii;thanks a lot
aseda wɔ mo mmoa ho;thanks for your help
aseda ɔpepem biako;thanks a million
asefo;offspring
asefo;progeny
asefo a wɔbɛba;posterity
asen dompe;heel bone
asen dompe;thighbone
asen mu;femoral
asen mu ntama;loincloth
aseni;descendant
asennibea dan;courthouse
aseptic a wɔde di dwuma;aseptic
aser;Asher
aseresɛm;comic
aseresɛm;hilarious
aseresɛm;humour
aseresɛm;ironic
aseresɛm;jest
aseresɛm;jocular
aseresɛm;joke
aseresɛm;satire
aseresɛm a mfaso wɔ so;practical joke
aseresɛm a wɔde di dwuma;comedy
aseresɛm a wɔde di dwuma;satirical
aseresɛm a wɔde di dwuma;sense of humour
aseresɛm a wɔde kyerɛw nsɛm;comic strip
aseresɛm a ɛwɔ mu;inside joke
aseresɛm a ɛyɛ aseresɛm;irony
aseresɛm a ɛyɛ awerɛhow;tragicomedy
aseresɛm a ɛyɛ serew;comical
aseresɛm a ɛyɛ vitreous;vitreous humour
aseresɛm biara nni hɔ;no kidding
aseresɛm bɔne;bad humour
aseresɛm kyerɛwfo;comedian
aseresɛm kyerɛwfo;joker
aseresɛm mu ahotɔ;comic relief
aseresɛm nhoma;comic book
asetena mu apam;social contract
asetena mu nhyehyɛe;social policy
asetena mu nneɛma;livelihood
asetenam;social
asetra a wɔbom tra;coexistence
asetra a ɛkorɔn;high life
asetra ankasa;real life
asetra gyinapɛn;standard of living
asetra ho adesua;sociology
asetra ho nsɛm;biographical
asetra ho nsɛm;biography
asetra ho nsɛm a wɔakyerɛw;biographette
asetra ho nsɛm kyerɛwfo;biographer
asetra ho nyansahu;social science
asetra ho ɔbenfo;sociologist
asetra kwan;lifestyle
asetra kwan;way of life
asetra mu adwene ho nimdeɛ;social psychology
asetra mu ahobammɔ;social security
asetra mu ahofadi ho adwene;social liberalism
asetra mu biakoyɛ;social cohesion
asetra mu dadwen;social anxiety
asetra mu darwinsom;social Darwinism
asetra mu insurance;social insurance
asetra mu ka a wɔbɔ;cost of living
asetra mu kasa ho adesua;sociolinguistics
asetra mu kuw;social class
asetra mu kuw;social group
asetra mu kyinhyia;life cycle
asetra mu mfiridwuma ho nimdeɛ;social engineering
asetra mu nsɛm ho adesua;social studies
asetra mu nsɛm ho adesua;sociological
asetra mu nsɛm ho dwumayɛni;social worker
asetra mu ntease;meaning of life
asetra mu ɔforotefo;social climber
asetra mu ɔhokafo;life partner
asetra mu ɔkyerɛkyerɛfo;life coach
asetra mu ɔyarefo;sociopath
asetra ne sikasɛm mu;socio-economic
asetra pa;quality of life
asetɔre;extinction
asew;in-law
aseɛ;basement
aseɛ;below
aseɛ;beneath
aseɛ;bottom
aseɛ;under
aseɛ hye;extinct
ash dwoda;Ash Wednesday
ashen;ashen
ashgabat na ɛwɔ hɔ;Ashgabat
ashkenazifo kasa mu;Ashkenazic
ashkenazifoɔ;Ashkenazi
ashlar;ashlar
ashoka na ɔkyerɛwee;Ashoka
asi gyinae;determinate
asia;Asia
asia apuei fam;East Asia
asia apuei famfo;East Asian
asia gyata;Asian lion
asia kesee fam;South Asia
asia kesee fam apuei;Southeast Asia
asia kesee fam atɔe;Southwest Asia
asia kumaa;Asia Minor
asia mfinimfini fam;Central Asia
asia-pacific na ɛwɔ hɔ;Asia-Pacific
asiafo;Asian
asiafo agumadi;Asian Games
asiafo asono;Asian elephant
asiafo sika kɔkɔɔ ɔkraman;Asiatic golden cat
asiane;calamity
asiane;peril
asiane a ɛbae;mishap
asiane a ɛwɔ mu;dangerousness
asiane a ɛyɛ hu;disastrous
asiane a ɛyɛ kɔkɔɔ;yellow peril
asiane ho dwumadie;risk management
asiane mu;dangerously
asiane mu;disastrously
asiane mu;jeopardy
asiane wom;hazardous
asiane wom;perilous
asiane wom;risky
asie;burial
asiesie ne ho;poised
asikre a enni mu;sugar-free
asikre a wɔde ahyɛ mu;sugared
asikre a wɔde powder ayɛ;powdered sugar
asikre a wɔde si ananmu;sugar substitute
asikre a wɔde tu mmirika;sugar glider
asikre a wɔde yɛ aduan;sugar cube
asikre a wɔde yɛ aduru;sugar cane
asikre a wɔde yɛ nneɛma;sugar beet
asikre a wɔde yɛ nneɛma;sugar mill
asikre a ɛboro so;hyperglycemia
asikre a ɛyɛ bastard;bastard sugar
asikre a ɛyɛ bruu;brown sugar
asikre akokoaa;sugar baby
asikre apɔw-mu-teɛteɛ;sugar apple
asikre kuruwa;sugar bowl
asikre nsuo;sugar water
asikre papa;sugar daddy
asikre-abodoo;sugar-loaf
asikreyare a ɛma obi nya asikreyare;diabetes mellitus
asikreyare a ɛma obi nya asikreyare;diabetic
asikreyare a ɛma obi nya asikreyare;diabetogenic
asikyire;sugar
asikyireyareɛ;diabetes
asinasin a wɔabɔ no asinasin;fragment
asinasin a wɔaka abom;piece together
asinasin a wɔayɛ no asinasin;piecemeal
asinasin a ɛyɛ shit;piece of shit
asinasin adwuma;piece work
asinine a wɔde yɛ adwuma;asinine
asiria;Assyria
asiriafo;Assyrian
asiriafo ho adesua;Assyriology
asisie;cheating
askance;askance
askelon;Ashkelon
askew a ɛyɛ fɛ;askew
asmara;Asmara
aso;due
aso;ear
aso a wɔde hyɛ;earwig
aso a wɔde hyɛ aso mu;earphones
aso a wɔde hyɛ mu;earmuff
aso a wɔde hyɛ mu;earplug
aso a wɔde siw ano;earmuffs
aso a wɔde te asɛm;auditory
aso a wɔde tie asɛm;auscultation
aso a wɔde tow;earshot
aso a ɛwɔ mu;inner ear
aso a ɛyɛ den;tinnitus
aso a ɛyɛ yaw;earache
aso agyiraehyɛde;earmark
aso ho adesua;audiology
aso mu aduru;earwax
aso mu ntini;ear canal
aso mu ntini;ear lobe
aso mu ntini;eardrum
aso mu yare;otitis
aso nsɔano;eared seal
aso nyinaa;all ears
asodi ho asodi;liable
asodie;duty
asodie;responsibility
asodie;responsible
asodie;role
asomafo;apostolic
asomafo adwuma;apostleship
asomafo nnidiso nnidiso;apostolic succession
asomafo no nnwuma;Acts of the Apostles
asomdwoe;appease
asomdwoe a wɔagyae;truce
asomdwoe a wɔde bɛma;pacification
asomdwoe a ɛwɔ hɔ;tranquillity
asomdwoe bere;peacetime
asomdwoe ho adwene;pacifism
asomdwoe ho nkɔmmɔbɔ;peace talks
asomdwoe ho ɔbenfo;pacifist
asomdwoe kuw;Peace Corps
asomdwoe mu;amicable
asomdwoe mu;pacific
asomdwoe mu;peaceable
asomdwoe mu;peacefully
asomdwoe mu a wɔbom tra;peaceful coexistence
asomdwoe mu atɛntrenee;Justice of the Peace
asomdwoeɛ;peace
asomdwoeɛ;peaceful
asomuade;earring
asono a wɔayɛ no mununkum;clouded leopard
asono a wɔde wɔn ho hyɛ mu;elephantry
asono a wɔfrɛ no leopard;leopard
asono a ɔwɔ dan no mu;elephant in the room
asono anomaa;elephant bird
asono ba;bear cub
asono nsɔano;elephant seal
asono nsɔano;leopard seal
asono tuntum;black bear
asono yare;elephantiasis
asono- .;rhino-
asonse a wɔde ayɛ;ivory
asonse abantenten a wɔde ayɛ;ivory tower
asoroben;insomnia
asorɔkye a ɛba fam;low tide
asorɔkye a ɛbubu;breakwater
asorɔkye a ɛkɔ akyiri;longitudinal wave
asorɔkye a ɛkɔ soro;high tide
asorɔkye a ɛreworo so;tidal wave
asorɔkye a ɛtrɛw;transverse wave
asorɔkye a ɛtwe ade ba fam;gravitational wave
asorɔkye a ɛyɛ ahabammono;green wave
asorɔkye a ɛyɛ asorɔkye;undulate
asorɔkye dwumadi;wavefunction
asorɔkye kɔkɔɔ;red tide
asorɔkye tenten;wavelength
asorɔkye tiawa;shortwave
asotifo anifurae;deafblindness
asotifo anifuraefo;deafblind
asotifo-mumu;deaf-mute
asotiw a wɔyɛ;deafness
asotwe;penalize
asotwe a wɔde ma;penalty
asotwe a wɔde ma;punishment
asotwe a wɔde ma;punitive
asotwe a wɔde tow tuo;penalty shootout
asotwe a wɔde yɛ adwuma;penal colony
asotwe a wɔmfa mma;impunity
asotwefo;punisher
asoɔden;disobedience
asoɔden;stubborn
asoɔden nyɛ;disobey
asoɔdenfo;disobedient
asoɛe;institution
asoɛe no;institute
asoɛeɛ;department
asoɛeɛ;service
asp;asp
asparagine a wɔfrɛ no asparagine;asparagine
asparagus a wɔde yɛ aduan;asparagus
aspartame a wɔde yɛ aduru;aspartame
aspartate a wɔde yɛ adwuma;aspartate
aspartic;aspartic
aspartic acid a wɔde yɛ aduru;aspartic acid
aspen;aspen
asperger yare a ɛma obi nya ɔyare no;Asperger's syndrome
aspergilum a ɛyɛ mmerɛw;aspergillum
aspermia a ɛma obi ho yɛ hyew;aspermia
aspersion a wɔde di dwuma;aspersion
asphalt a wɔde ayɛ;asphalt
asphaltene a wɔde yɛ nneɛma;asphaltene
asphodel a wɔde yɛ nneɛma;asphodel
asphyxia a ɛma obi ho kyere no;asphyxia
asphyxiate a wɔde hyɛ nipadua mu;asphyxiate
aspic;aspic
aspie;aspie
aspirant a ɔpɛ sɛ ɔyɛ;aspirant
aspirate a wɔde hyɛ nipadua mu;aspirate
aspirated;aspirated
aspirated h;aspirated h
aspiration;aspiration
aspirator a wɔde hyɛ nipadua mu;aspirator
aspire;aspire
aspirin a wɔde di dwuma;aspirin
asplenia a ɛma obi ho yɛ hyew;asplenia
asraafo;Martial
asraafo a wɔayi wɔn afi hɔ;demilitarisation
asraafo a wɔde akode ayɛ adwuma;armed forces
asraafo a wɔde wɔn ho bɛhyɛ mu;militarization
asraafo a wɔnam fam;infantry
asraafo a wɔwɛn;garrison
asraafo a wɔyɛ asraafo;militarist
asraafo adwuma;militarism
asraafo atrae;barrack
asraafo dibea;military rank
asraafo dɔm;troops
asraafo dɔm (regiment).;regiment
asraafo dɔm no;battalion
asraafo ho nyansahu;military science
asraafo mmara;martial law
asraafoɔ;army
asraafoɔ;military
asramma a ɛma obi nya asramma;malaria
asramma a ɛma obi nya ɔyare mmoawa;malarial
assail a wɔde tow hyɛ obi so;assail
assam na ɛwɔ hɔ;Assam
assegai na ɛyɛ;assegai
asselian na ɔkyerɛwee;Asselian
asseverate a ɛyɛ den;asseverate
assfuck a ɛyɛ den;assfuck
assignor a ɔde ma;assignor
assimilation a wɔde wɔn ho hyɛ mu;assimilation
assisi;Assisi
associate’s abodin krataa;associate's degree
assonance a wɔde di dwuma;assonance
assonant a wɔde di dwuma;assonant
assortment a wɔde di dwuma;assortment
assuage a ɛma obi dwo;assuage
astana;Astana
astatine a wɔde yɛ aduru;astatine
astaxanthin a wɔde yɛ aduru;astaxanthin
aster;aster
asterix a ɛyɛ nwonwa;Asterix
asteroid abɔso;asteroid belt
asthenosphere a ɛwɔ nipadua no mu;asthenosphere
astigmatism a ɛma obi hwɛ ade;astigmatism
astraddle a wɔde di dwuma;astraddle
astrakhan kasa mu;Astrakhan
astride a wɔde tu mmirika;astride
astringency a ɛyɛ den;astringency
astringent a ɛyɛ den;astringent
astrobleme a wɔfrɛ no astrobleme;astrobleme
astroid, a ɛyɛ astroid;astroid
asturianfo kasa;Asturian
asturiansom a wɔde di dwuma;Asturianism
asturias na ɛwɔ hɔ;Asturias
asu a ɛtɔ gu fam;torrential
asubura;fount
asubura;fountain
asubura a wɔde nsu gu mu;cistern
asubura a wɔnom;drinking fountain
asubura a ɛyɛ hyew;hot spring
asubura kyerɛwdua;fountain pen
asubɔ;baptism
asubɔ afiri;baptismal font
asubɔ ho;baptistry
asubɔ mu;baptismal
asubɔnten a ayera;Lost River Range
asubɔnten a ɛretu;torrent
asubɔnten ho;fluvial
asubɔnten ho;riparian
asubɔnten ketewa;rivulet
asubɔnten no;brook
asubɔnten no ano;riverbank
asubɔnten no ase;downstream
asubɔnten no atifi;upstream
asubɔnten no mu;creek
asubɔnten nyame;river god
asubɔnten so;riverbed
asubɔnten so hyɛmma;riverboat
asubɔntene;river
asuguare akisikuru;swim bladder
asuguare atade;swimsuit
asuguare kyɛw;swim cap
asuguare nnua;swimming trunks
asuguarebea;swimming pool
asuguarefo;swimmer
asukɔnkɔn;hippopotamus
asukɔtweaa a ɛtɔ;avalanche
asukɔtweaa abo;hailstone
asukɔtweaa fi;hail from
asuma;hidden
asuma;obscure
asumansɛm;occult
asumansɛm;occultism
asumansɛm ho nimdefo;occultist
asumasɛm;secret
asunción na ɛwɔ hɔ;Asunción
asunder;asunder
asuso;spring
asuso;winter
asylee;asylee
asymmetrical a ɛnyɛ pɛpɛɛpɛ;asymmetrical
asymmetry a ɛnyɛ pɛpɛɛpɛ;asymmetry
asymptote a ɛwɔ nipadua no mu;asymptote
asynchrony a ɛnyɛ adwuma;asynchrony
asyndeton na ɛyɛ adwuma;asyndeton
asɔ;active
asɔfo;clergy
asɔfo panyin;archepiscopal
asɔfo panyin;clergyperson
asɔfodi;priesthood
asɔfopɔn adwuma;bishopric
asɔre;church
asɔre adwuma;ecclesiastical
asɔre dedaw slavonic;Old Church Slavonic
asɔre ho adesua;ecclesiology
asɔre kɛse no;archdiocese
asɔre latin kasa;Ecclesiastical Latin
asɔre no mu;denomination
asɔre sohwɛfo;churchwarden
asɔredan;temple
asɔredan a ɛwɔ asɔredan mu;parish church
asɔredan bepɔw;Temple Mount
asɔredan din;temple name
asɔredan kɛse;cathedral
asɔredan mu;chapel
asɔredan mu;cloister
asɔredan mu;cloistral
asɔredan mu;mosque
asɔredan mu;parish
asɔredan mu;parochial
asɔredan mu ɔsɔfo panyin;parochial vicar
asɔremma;laity
asɔremma;member
asɔremma;parishioner
asɔremma ahyehyɛde;member organisation
asɔretiafo a wɔko tia asɔfo;anticlerical
asɔreyɛ ho nhyehyɛe;liturgical
asɔreyɛ ho nhyehyɛe;liturgy
asɛdeɛ;obligation
asɛe;degenerate
asɛe;dilapidate
asɛe ade;deleterious
asɛe ade;disrupt
asɛe ade;ruinous
asɛe ade kɛse;devastating
asɛe din;defame
asɛe no;wrecked
asɛm;affair
asɛm;case
asɛm;information
asɛm;issue
asɛm;matter
asɛm a edi kan;antecedent
asɛm a enni ano;indefinite article
asɛm a enye;downside
asɛm a esisi;occurrence
asɛm a esisi horizon;event horizon
asɛm a etwa to;final say
asɛm a mfaso wɔ so;benefactive case
asɛm a wɔafa aka;citation
asɛm a wɔahyɛ da ayɛ;fixed point
asɛm a wɔatwe afi mu;excerpt
asɛm a wɔde ano ka;oralization
asɛm a wɔde ano ka;verbal
asɛm a wɔde ano ka;word of mouth
asɛm a wɔde bɔ abira;refutation
asɛm a wɔde bɔ sobo;accusative
asɛm a wɔde di kan;prefix
asɛm a wɔde frɛ nkurɔfo;vocative case
asɛm a wɔde frɛ obi;nominative case
asɛm a wɔde kɔdan asɛnnibea;arraign
asɛm a wɔde kɔdan asɛnnibea;arraignment
